;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);8;159;271;1610
2;в том числе       инженерные;1;8;25;61
3;медицинские;;38;;220
4;космические;;;;
5;педагогические;;31;;337
6;аграрные;;1;;15
7;предпринимательские;4;4;182;80
8;кадетские;;2;;54
9;IT-классы;;;;
10;другие;3;75;64;843
