;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего (сумма граф 4 – 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 06);68826;6856;6729;7286;6978;7077;7193;7004;6895;7024;3732;1940;81;31
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05);68823;6856;6729;7286;6978;7077;7193;7004;6895;7024;3732;1937;81;31
3;в том числе обучались:       очно;68474;6834;6700;7254;6944;7045;7166;6978;6878;7000;3695;1925;38;17
4;очно-заочно;207;17;15;24;18;25;15;20;13;14;16;10;7;13
5;заочно;142;5;14;8;16;7;12;6;4;10;21;2;36;1
6;Численность экстернов, окончивших данный класс;3;;;;;;;;;;;3;;
7;из них (из стр.06)  обучались:       в форме семейного образования;;;;;;;;;;;;;;
8;в форме самообразования;;;;;;;;;;;;;;
9;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;
