;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);13088;7176;6607;;4;;;2912;1026;1182;1965;2326;40;24;9563;
2;в том числе:       руководящие работники – всего;866;778;707;;;;;61;37;14;310;191;3;2;716;
3;из них:             директор;171;170;161;;;;;1;1;;86;30;;1;134;
4;заместители директора;570;493;446;;;;;53;30;13;168;131;3;1;473;
5;руководитель филиала;22;20;17;;;;;2;2;;6;4;;;17;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);7087;5915;5713;;4;;;1047;935;10;1643;2109;20;22;6080;1118.5
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);5292;4601;4475;;4;;;615;567;3;1436;1642;12;19;4517;821
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1387;1086;1070;;;;;268;259;;447;499;3;3;1366;307
9;русского языка и литературы;593;582;572;;1;;;7;6;;214;187;3;6;588;
10;языка народов России и литературы;263;263;260;;;;;;;;140;78;2;3;256;
11;истории, экономики, права, обществознания;321;309;303;;;;;9;8;;58;100;;;283;
12;информатики;131;122;115;;;;;7;6;;13;43;;;97;
13;физики;146;145;143;;;;;;;;48;36;;1;108;
14;математики;472;464;456;;2;;;4;4;;129;129;;4;443;
15;химии;123;120;116;;;;;1;;;34;40;;;121;
16;географии;150;147;143;;;;;1;1;;45;53;1;;132;
17;биологии;164;163;161;;1;;;;;;45;57;;1;154;
18;иностранных языков;451;444;434;;;;;4;4;;49;143;1;1;426;
19;из них:                         английского языка;443;424;413;;;;;3;3;;42;138;;;419;
20;немецкого языка;3;3;3;;;;;;;;1;;;;3;
21;французского языка;3;3;3;;;;;;;;1;;;;3;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;403;288;276;;;;;105;96;2;70;117;;;119;
24;труда (технологии);224;138;129;;;;;82;76;;47;68;1;;129;
25;музыки и пения;112;52;41;;;;;57;45;;26;19;;;89;
26;изобразительного искусства, черчения;77;51;47;;;;;25;24;;15;20;;;56;
27;основ безопасности и защиты Родины;99;87;78;;;;;12;8;;13;25;;;21;
28;основ духовно-нравственной культуры народов России;12;12;11;;;;;;;;1;3;;;10;
29;прочих предметов;164;128;120;;;;;33;30;1;42;25;1;;119;
30;учителя-логопеды;108;101;100;;;;;6;6;;19;32;1;;107;25.5
31;учителя-дефектологи;22;19;19;;;;;3;3;;4;5;;1;21;4
32;из них:                   олигофренопедагог;8;6;6;;;;;2;2;;1;3;;1;7;2
33;тифлопедагог;1;1;1;;;;;;;;;;;;1;
34;сурдопедагог;2;2;2;;;;;;;;2;;;;2;
35;социальные педагоги;269;207;188;;;;;58;51;2;28;78;1;;241;59
36;педагоги дополнительного образования;221;155;134;;;;;60;43;;37;41;1;;148;97
37;педагоги-психологи;222;206;197;;;;;11;10;;25;80;;1;215;55
38;воспитатели;477;275;266;;;;;185;174;2;47;124;2;;440;89
39;мастера производственного обучения;12;6;3;;;;;5;2;;;;;;4;5
40;тьюторы;21;16;16;;;;;5;5;;1;3;;;20;6.5
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;81;74;69;;;;;5;5;;5;26;;;68;11.5
42;другие;362;255;246;;;;;94;69;3;41;78;3;1;299;67.5
43;учебно-вспомогательный персонал;760;316;162;;;;;233;42;80;12;25;5;;587;
44;иной персонал;4375;167;25;;;;;1571;12;1078;;1;12;;2180;
45;из них:             ассистент (помощник);;;;;;;;;;;;;;;;1
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;188;99;84;;;;;76;73;;16;46;;;180;
49;из них воспитатели;169;87;73;;;;;64;61;;14;43;;;162;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;40;40;26;;;;;;;;5;5;;;36;
51;из них учителя;40;40;26;;;;;;;;5;5;;;36;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;106;99;97;;;;;6;5;1;27;25;;;89;
53;из них учителя - всего;96;91;90;;;;;4;3;1;24;24;;;81;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;14;12;12;;;;;1;1;1;4;;;;12;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;32;21;21;;;;;1;1;;6;6;;;17;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;7;3;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;386;;;;;;;;;;;;;;;
58;из них директор;86;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;3022;;;;;;;;;;;;;;;
60;из них учителя;1961;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);29;;;;;;;;;;;;;;;
62;из них женщин;23;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;;;;;;;;;;;;;;;;
64;медицинские сестры;29;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;2729;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;2885;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;2716;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;169;;;;;;;;;;;;;;;
