;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);10296;735;462;1076;1294;1229;5500;6347;725;379;826;737;558;3122;3949
2;в том числе:       руководящие работники – всего;562;10;7;24;66;78;377;534;19;13;50;66;63;323;28
3;из них:             директор;182;1;2;4;15;17;143;180;1;2;11;20;17;129;2
4;заместители директора;373;9;5;20;50;60;229;348;18;11;39;45;45;190;25
5;руководитель филиала;6;;;;1;1;4;6;;;;1;1;4;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);5787;592;289;649;638;563;3056;5700;696;352;759;653;490;2750;87
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);4657;445;219;484;485;420;2604;4602;490;261;553;506;375;2417;55
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1453;150;77;157;137;113;819;1438;149;87;172;145;108;777;15
9;русского языка и литературы;546;44;15;38;50;54;345;541;47;16;50;51;52;325;5
10;языка народов России и литературы;62;10;6;6;4;3;33;62;10;8;5;4;3;32;
11;истории, экономики, права, обществознания;284;31;18;29;29;36;141;280;34;17;35;34;33;127;4
12;информатики;115;6;3;16;19;23;48;114;9;4;16;18;22;45;1
13;физики;116;13;3;17;6;4;73;114;13;5;18;8;2;68;2
14;математики;440;38;23;42;44;38;255;435;50;25;45;47;31;237;5
15;химии;87;13;3;6;3;10;52;86;12;3;8;4;10;49;1
16;географии;130;8;9;12;16;11;74;130;9;10;18;17;8;68;
17;биологии;153;15;7;17;18;7;89;151;18;6;17;19;6;85;2
18;иностранных языков;435;47;18;56;57;50;207;432;51;20;66;58;35;202;3
19;из них:                         английского языка;409;46;18;54;53;47;191;406;50;19;64;52;34;187;3
20;немецкого языка;23;;;2;4;3;14;23;;1;2;6;1;13;
21;французского языка;2;;;;;;2;2;;;;;;2;
22;китайского языка;1;1;;;;;;1;1;;;;;;
23;физической культуры;313;31;18;48;35;26;155;305;29;23;50;37;27;139;8
24;труда (технологии);181;8;3;9;29;14;118;179;16;10;19;24;16;94;2
25;музыки и пения;90;10;4;8;9;4;55;88;12;6;7;10;5;48;2
26;изобразительного искусства, черчения;68;4;1;6;7;10;40;68;6;2;6;8;7;39;
27;основ безопасности и защиты Родины;64;10;1;9;12;3;29;61;11;3;10;11;4;22;3
28;основ духовно-нравственной культуры народов России;3;1;;1;;;1;3;1;;1;;;1;
29;прочих предметов;117;6;10;7;10;14;70;115;13;16;10;11;6;59;2
30;учителя-логопеды;87;3;4;15;12;12;41;86;5;5;20;15;7;34;1
31;учителя-дефектологи;36;3;2;9;10;4;8;35;2;4;11;6;4;8;1
32;из них:                   олигофренопедагог;12;1;;6;2;2;1;11;;1;6;1;2;1;1
33;тифлопедагог;1;;;;1;;;1;;;;1;;;
34;сурдопедагог;3;;;;;;3;3;;;;;;3;
35;социальные педагоги;130;12;6;17;16;23;56;125;15;8;22;20;14;46;5
36;педагоги дополнительного образования;109;24;5;13;12;11;44;101;32;7;18;7;10;27;8
37;педагоги-психологи;166;16;16;21;35;26;52;163;24;15;31;35;20;38;3
38;воспитатели;285;22;15;33;30;35;150;283;36;21;40;26;36;124;2
39;мастера производственного обучения;3;;;;;;3;3;;;;;1;2;
40;тьюторы;28;7;2;4;;1;14;28;10;6;3;1;2;6;
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;73;12;5;15;12;12;17;72;21;5;13;15;8;10;1
42;другие;213;48;15;38;26;19;67;202;61;20;48;22;13;38;11
43;учебно-вспомогательный персонал;484;20;37;61;68;62;236;52;5;9;11;8;1;18;432
44;иной персонал;3463;113;129;342;522;526;1831;61;5;5;6;10;4;31;3402
45;из них:             ассистент (помощник);4;;;;1;1;2;;;;;;;;4
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;119;9;3;15;14;15;63;118;11;7;18;10;17;55;1
49;из них воспитатели;110;9;3;15;12;14;57;109;11;7;17;9;15;50;1
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;22;;;;2;4;16;22;3;1;1;1;2;14;
51;из них учителя;18;;;;1;3;14;18;3;1;1;;1;12;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
