;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);393;221;202.5
2;в том числе:       руководящие работники – всего;1;;1
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);240;159;123.8
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);173;114;87.6
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;3;3;2.1
6;русского языка и литературы;5;4;2.8
7;языка народов России и литературы;1;1;0.2
8;истории, экономики, права, обществознания;9;7;4.3
9;информатики;9;4;3.6
10;физики;13;8;6.4
11;математики;10;10;6.6
12;химии;9;7;2.6
13;географии;3;1;1.8
14;биологии;7;7;3.2
15;иностранных языков;13;12;8
16;из них:                      английского языка;12;11;7.5
17;немецкого языка;;;
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;16;5;7.6
21;труда (технологии);10;3;6.3
22;музыки и пения;18;16;8.9
23;изобразительного искусства, черчения;7;6;3.1
24;основ безопасности и защиты Родины;4;1;1.8
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;36;19;18.3
27;учителя-логопеды;8;8;2.6
28;учителя-дефектологи;3;3;1.1
29;из них:                олигофренопедагог;1;1;0.5
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;;;
33;педагоги дополнительного образования;27;15;15.2
34;педагоги-психологи;6;6;3
35;воспитатели;7;6;6.3
36;мастера производственного обучения;;;
37;тьюторы;;;
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;;;
39;другие;16;7;8
40;учебно-вспомогательный персонал;26;13;13.6
41;иной персонал;126;49;64.1
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;2;1;2.8
46;из них воспитатели;2;1;2.8
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;8;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);2;;
53;из них женщин;1;;
54;в том числе:          врачи всех специальностей;1;;
55;медицинские сестры;1;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;87;;
