;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);14634.94;14228.51;14026.41;10373;1332;342;557;1409;1327;10296;426
2;в том числе:       руководящие работники – всего;601.05;592.55;591.55;557;55;2;45;62;61;562;8
3;из них:             директор;182.5;181.5;181.5;178;7;;5;10;10;182;1
4;заместители директора;409.55;402.05;395.55;357;48;2;37;48;48;373;7
5;руководитель филиала;6;6;6;10;;;;;;6;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);9297.59;9001.16;8876.68;5855;839;159;496;906;872;5787;312
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);7723.18;7546.05;7457.45;4774;612;111;368;709;685;4657;182
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1934.99;1923.99;1922.38;1502;169;63;72;209;202;1453;11
9;русского языка и литературы;919.85;894.8;892;548;70;5;49;70;69;546;26
10;языка народов России и литературы;78.48;76.48;76.28;64;5;;5;8;8;62;2
11;истории, экономики, права, обществознания;473.44;462.1;457.8;294;31;2;27;40;39;284;12
12;информатики;184.13;177.13;173.56;113;13;3;4;10;9;115;7
13;физики;201.23;191.85;185.86;118;24;1;18;26;26;116;10
14;математики;782.96;742.56;735.58;453;69;;48;79;76;440;40
15;химии;139.41;135.2;132.53;92;15;;9;21;20;87;5
16;географии;203.47;201.53;199.69;134;15;1;9;19;19;130;2
17;биологии;227.82;226.49;223.27;147;23;2;15;19;18;153;2
18;иностранных языков;730.46;701.96;693.91;444;52;1;38;61;59;435;28
19;из них:                         английского языка;685.67;659.33;651.78;410;51;1;37;54;51;409;25
20;немецкого языка;38.75;36.42;36.42;29;;;;4;4;23;2
21;французского языка;2.18;2.18;2.18;3;;;;;;2;
22;китайского языка;1.3;1.3;1.3;1;;;;;;1;
23;физической культуры;456.26;448.28;440.72;331;43;14;20;57;56;313;9
24;труда (технологии);311.86;304.56;298.51;193;17;3;11;27;23;181;7
25;музыки и пения;154.19;151.19;142.24;87;18;7;8;13;13;90;3
26;изобразительного искусства, черчения;104.93;103.63;99.97;69;9;2;6;9;9;68;2
27;основ безопасности и защиты Родины;78.38;75.98;74.15;68;15;2;13;16;16;64;3
28;основ духовно-нравственной культуры народов России;19.67;19.67;19.67;1;2;;2;;;3;
29;прочих предметов;721.65;708.65;689.33;116;22;5;14;25;23;117;13
30;учителя-логопеды;112.82;104.57;102.1;83;11;2;9;8;8;87;11
31;учителя-дефектологи;55.92;47.67;46.5;32;6;;6;4;4;36;9
32;из них:                      олигофренопедагог;13;13;12.5;11;3;;3;2;2;12;
33;тифлопедагог;2.25;2.25;2.25;1;;;;;;1;
34;сурдопедагог;4;4;4;3;;;;;;3;
35;социальные педагоги;162.75;158.25;158.25;132;12;3;8;12;12;130;5
36;педагоги дополнительного образования;256.05;235.75;220.51;110;27;8;12;25;22;109;22
37;педагоги-психологи;218.65;195.9;192.2;166;31;;18;29;29;166;23
38;воспитатели;324.55;306.55;300.55;300;28;8;16;44;40;285;19
39;мастера производственного обучения;5.5;5.5;5.5;2;1;;1;1;1;3;
40;тьюторы;34;33.5;33.5;26;5;;5;3;3;28;1
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;56;55.5;55.5;24;36;8;20;7;7;73;1
42;другие;348.17;311.92;304.62;206;70;19;33;64;61;213;39
43;учебно-вспомогательный персонал;599.15;587.65;574.55;491;54;22;8;56;54;484;13
44;иной персонал;4137.15;4047.15;3983.63;3470;384;159;8;385;340;3463;93
45;из них:             ассистент (помощник);5;4;4;4;;;;;;4;1
46;сурдопереводчик;;;;;;;;;;;
47;тифлосурдопереводчик;;;;1;;;;1;1;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;123.18;118.83;113.5;116;6;1;1;14;9;119;2
49;из них воспитатели;112.08;108.58;103.15;99;5;1;1;12;8;110;2
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;17.3;17.3;17.3;23;2;;1;2;2;22;
51;из них учителя;13.3;13.3;13.3;19;1;;1;2;2;18;
;;;;;;;;;;;;
;;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам
