;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;45471;2782;9826;32863;45392;75;4
2;из них:        русский язык;1085;;138;947;1078;7;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;21263;453;3248;17562;21247;15;1
8;изобразительное искусство;;;;;;;
9;музыка;51;51;;;51;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;7584;;95;7489;7556;25;3
13;родная литература;8;;;8;8;;
14;иностранный язык;8901;2278;4925;1698;8901;;
15;из них:              английский;8059;2002;4459;1598;8059;;
16;немецкий;275;83;146;46;275;;
17;французский;353;103;196;54;353;;
18;испанский;214;90;124;;214;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;6011;;1307;4704;6011;;
23;история;4617;;218;4399;4554;60;3
24;обществознание;15469;;599;14870;15434;35;
25;география;1199;;;1199;1199;;
26;физика;5274;;342;4932;5267;7;
27;химия;3768;;177;3591;3768;;
28;биология;5076;;492;4584;5076;;
29;основы безопасности и защиты Родины;;;;;;;
