;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);3181;185;86;83;228;259;277;312;392;353;343;360;148;148;7
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);3176;185;86;83;226;259;276;312;392;353;342;359;148;148;7
3;в том числе (из строки 02) обучались:       очно;3159;184;86;82;224;258;275;309;390;353;338;357;148;148;7
4;очно-заочно;14;1;;1;2;;1;2;1;;4;2;;;
5;заочно;3;;;;;1;;1;1;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;1137;103;;;94;109;74;125;163;146;144;179;;;
7;10 лет;403;;34;21;45;36;40;34;49;52;21;39;32;;
8;11 лет;785;33;18;29;52;58;67;59;75;68;70;72;76;108;
9;12 лет;452;49;;;12;21;52;37;47;51;90;49;22;22;
10;13 лет;399;;34;33;23;35;43;57;58;36;17;20;18;18;7
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);5;;;;2;;1;;;;1;1;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;3;;;;;;1;;;;1;1;;;
13;10 лет;2;;;;2;;;;;;;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;;;;;;;;;;;;;;;
16;13 лет;;;;;;;;;;;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;4;;;;2;;1;;;;1;;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
