;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);49959;32381;28739;5;163;;11;10177;4861;3193;14958;7134;24;68;42699;
2;в том числе:       руководящие работники – всего;3739;3496;2906;1;48;;5;183;63;17;1125;316;1;8;3287;
3;из них:             директор;1110;1082;1007;;26;;3;7;5;;412;96;1;3;886;
4;заместители директора;2480;2239;1732;;21;;2;141;44;16;647;195;;4;2251;
5;руководитель филиала;16;10;8;;;;;5;5;;5;4;;;14;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);32219;26745;25488;4;115;;6;5044;4620;44;13807;6794;23;60;29251;36297.8
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);27752;23460;22586;4;106;;6;3994;3779;30;12800;6139;23;59;25167;31071.1
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;8397;6046;5903;;6;;;2249;2191;12;3662;2078;5;29;8371;9174.8
9;русского языка и литературы;3345;3117;3087;1;21;;;197;189;1;1793;667;5;7;3305;
10;языка народов России и литературы;7;7;7;;;;;;;;1;2;;;7;
11;истории, экономики, права, обществознания;1745;1673;1621;;18;;1;64;59;;855;359;1;4;1495;
12;информатики;683;629;574;;5;;;47;37;;319;140;1;2;517;
13;физики;900;863;822;;8;;2;33;30;;462;178;;1;702;
14;математики;2666;2503;2412;;9;;1;140;130;;1333;543;4;5;2546;
15;химии;642;627;593;;4;;;10;6;;371;113;2;;610;
16;географии;825;768;732;;2;;;51;42;1;424;165;1;2;770;
17;биологии;831;796;773;1;8;;;29;26;1;455;154;;1;801;
18;иностранных языков;2932;2725;2649;1;14;;1;185;178;2;1219;742;3;5;2839;
19;из них:                         английского языка;2644;2395;2303;1;13;;;153;144;2;1057;641;3;4;2551;
20;немецкого языка;254;226;218;;;;;27;27;;88;66;;;249;
21;французского языка;28;27;27;;1;;;;;;20;3;;;28;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;1843;1480;1407;;2;;;336;318;4;764;418;;2;938;
24;труда (технологии);1068;831;753;;2;;;226;183;3;457;233;1;;786;
25;музыки и пения;552;365;341;1;1;;;172;156;3;224;112;;;494;
26;изобразительного искусства, черчения;401;298;283;;;;;97;86;;176;79;;;387;
27;основ безопасности и защиты Родины;398;338;285;;1;;;54;50;;147;89;;1;118;
28;основ духовно-нравственной культуры народов России;60;45;42;;;;;14;13;;18;8;;;58;
29;прочих предметов;457;349;302;;5;;1;90;85;3;120;59;;;423;
30;учителя-логопеды;364;344;330;;;;;15;14;;94;64;;;362;367.1
31;учителя-дефектологи;183;171;168;;1;;;11;11;;58;24;;;183;196.8
32;из них:                   олигофренопедагог;42;37;36;;;;;3;3;;14;7;;;42;39.5
33;тифлопедагог;4;3;3;;;;;;;;2;;;;4;5.3
34;сурдопедагог;27;27;27;;1;;;;;;16;;;;27;30.2
35;социальные педагоги;378;306;262;;2;;;65;53;1;74;58;;;368;344.2
36;педагоги дополнительного образования;378;268;211;;;;;92;65;7;67;42;;;277;540.2
37;педагоги-психологи;874;810;730;;2;;;53;45;;213;135;;1;844;779.8
