;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);49959;3494;2188;4557;5208;5442;29070;35429;3258;1938;3589;3452;3290;19902;14530
2;в том числе:       руководящие работники – всего;3739;32;53;203;330;450;2671;3136;60;68;210;285;323;2190;603
3;из них:             директор;1110;;1;31;75;77;926;1097;5;8;42;75;69;898;13
4;заместители директора;2480;32;50;168;240;352;1638;2004;54;60;166;208;252;1264;476
5;руководитель филиала;16;;;1;1;1;13;16;;;1;1;1;13;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);32219;2791;1580;2989;3222;3088;18549;31729;3115;1816;3304;3108;2890;17496;490
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);27752;2199;1247;2406;2621;2540;16739;27485;2362;1441;2661;2590;2437;15994;267
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;8397;761;439;696;706;658;5137;8324;767;482;759;707;642;4967;73
9;русского языка и литературы;3345;220;121;225;253;299;2227;3314;217;143;239;251;291;2173;31
10;языка народов России и литературы;7;;1;2;3;;1;7;;1;2;3;;1;
11;истории, экономики, права, обществознания;1745;129;81;166;149;148;1072;1725;143;93;186;138;150;1015;20
12;информатики;683;64;39;82;94;80;324;673;68;48;91;100;68;298;10
13;физики;900;50;29;65;63;73;620;895;66;33;78;58;75;585;5
14;математики;2666;192;106;198;245;228;1697;2641;211;123;222;244;201;1640;25
15;химии;642;26;20;41;49;55;451;639;32;20;46;46;59;436;3
16;географии;825;49;23;49;55;60;589;821;55;27;59;56;65;559;4
17;биологии;831;37;28;53;81;66;566;828;52;33;65;69;65;544;3
18;иностранных языков;2932;273;130;344;459;424;1302;2901;275;157;362;460;400;1247;31
19;из них:                         английского языка;2644;262;128;329;430;393;1102;2616;267;153;346;429;370;1051;28
20;немецкого языка;254;7;1;12;26;28;180;251;4;3;13;28;27;176;3
21;французского языка;28;2;1;2;2;2;19;28;2;1;2;2;2;19;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;1843;194;105;225;219;184;916;1821;213;114;244;212;171;867;22
24;труда (технологии);1068;40;36;90;82;96;724;1059;61;58;108;79;90;663;9
25;музыки и пения;552;53;24;48;46;39;342;543;59;29;53;39;39;324;9
26;изобразительного искусства, черчения;401;38;22;37;28;38;238;394;39;23;43;30;32;227;7
27;основ безопасности и защиты Родины;398;31;19;29;40;39;240;395;47;26;44;50;38;190;3
28;основ духовно-нравственной культуры народов России;60;4;3;5;7;12;29;60;5;2;7;9;9;28;
29;прочих предметов;457;38;21;51;42;41;264;445;52;29;53;39;42;230;12
30;учителя-логопеды;364;40;25;50;64;51;134;356;48;32;58;53;40;125;8
31;учителя-дефектологи;183;23;10;23;31;30;66;181;29;14;27;30;22;59;2
32;из них:                   олигофренопедагог;42;3;1;7;4;11;16;42;6;3;7;6;7;13;
33;тифлопедагог;4;;1;;1;;2;4;;1;;1;;2;
34;сурдопедагог;27;3;2;;;2;20;27;3;2;;;2;20;
35;социальные педагоги;378;35;27;66;56;48;146;362;52;39;67;45;43;116;16
36;педагоги дополнительного образования;378;45;37;44;29;31;192;353;57;34;44;22;44;152;25
37;педагоги-психологи;874;134;74;118;173;122;253;824;163;71;129;143;98;220;50
38;воспитатели;906;67;39;81;67;119;533;896;95;49;106;77;103;466;10
39;мастера производственного обучения;;;;;;;;;;;;;;;
40;тьюторы;269;53;32;43;46;36;59;248;77;32;37;33;23;46;21
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;281;52;39;60;55;36;39;273;64;43;60;45;26;35;8
42;другие;834;143;50;98;80;75;388;751;168;61;115;70;54;283;83
43;учебно-вспомогательный персонал;1946;157;103;210;272;304;900;363;64;38;49;42;38;132;1583
44;иной персонал;12055;514;452;1155;1384;1600;6950;201;19;16;26;17;39;84;11854
45;из них:             ассистент (помощник);7;;1;2;2;;2;;;;;;;;7
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;309;27;18;39;30;53;142;306;40;21;52;32;41;120;3
49;из них воспитатели;276;22;17;37;24;48;128;274;35;20;47;25;37;110;2
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;87;;2;7;7;5;66;87;4;4;9;8;4;58;
51;из них учителя;85;;2;7;6;5;65;85;4;4;9;7;4;57;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
