;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);2854;1805;1298.8
2;в том числе:       руководящие работники – всего;50;43;26.4
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);1821;1318;711.4
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);1135;875;512.8
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;82;80;58.9
6;русского языка и литературы;81;79;43.5
7;языка народов России и литературы;;;1
8;истории, экономики, права, обществознания;78;54;39.1
9;информатики;66;43;28
10;физики;76;49;35.9
11;математики;72;60;41.1
12;химии;67;63;35.3
13;географии;31;26;12
14;биологии;36;33;17.2
15;иностранных языков;92;86;40.8
16;из них:                      английского языка;75;70;67.4
17;немецкого языка;10;9;3.9
18;французского языка;1;1;0.3
19;китайского языка;;;
20;физической культуры;102;40;55.7
21;труда (технологии);38;17;16.6
22;музыки и пения;71;65;33.9
23;изобразительного искусства, черчения;22;22;9.5
24;основ безопасности и защиты Родины;28;7;11.2
25;основ духовно-нравственной культуры народов России;5;4;2.6
26;прочих предметов;188;147;78.3
27;учителя-логопеды;43;43;22.2
28;учителя-дефектологи;29;28;14.7
29;из них:                олигофренопедагог;7;6;6.2
30;тифлопедагог;1;1;0.5
31;сурдопедагог;2;2;1
32;социальные педагоги;11;10;6
33;педагоги дополнительного образования;412;212;134.3
34;педагоги-психологи;57;57;28
35;воспитатели;10;9;6.4
36;мастера производственного обучения;;;
37;тьюторы;11;10;7
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;16;15;6.2
39;другие;97;59;39.4
40;учебно-вспомогательный персонал;181;95;81.6
41;иной персонал;802;349;385.4
42;из них:             ассистент(помощник);2;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;2;2;0.8
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;42;35;21.3
48;из них учителя;42;35;20.8
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;57;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;2;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);71;;
53;из них женщин;64;;
54;в том числе:          врачи всех специальностей;23;;
55;медицинские сестры;48;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;552;;
