;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);49959;2677;2389;2290;1983;3278;2855;4789;4225;5789;5165;6627;5928;7695;6737;6671;5579;5513;4313;4630;3525
2;в том числе:       руководящие работники – всего;3739;10;9;69;57;180;147;371;322;505;457;653;593;783;712;566;491;385;323;217;176
3;из них:             директор;1110;;;3;1;30;17;87;58;98;76;188;158;252;221;207;163;152;118;93;74
4;заместители директора;2480;10;9;66;56;149;129;267;246;373;348;431;400;515;476;340;306;212;186;117;95
5;руководитель филиала;16;;;;;;;2;2;3;3;2;1;3;3;2;2;4;3;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);32219;2440;2198;1952;1718;2395;2123;3080;2784;3607;3320;4103;3842;4945;4560;4054;3702;3126;2783;2517;2221
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);27752;1997;1786;1593;1390;1913;1667;2478;2232;2989;2740;3563;3339;4446;4104;3663;3371;2846;2538;2264;2000
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;8397;815;809;570;565;539;538;594;592;823;823;1117;1116;1655;1653;1258;1253;667;666;359;356
9;русского языка и литературы;3345;202;199;164;161;171;169;281;279;313;311;496;493;547;541;456;454;354;343;361;355
10;языка народов России и литературы;7;;;1;1;1;1;2;2;;;1;1;1;1;1;1;;;;
11;истории, экономики, права, обществознания;1745;102;78;104;77;142;107;136;111;157;139;249;234;276;244;244;214;204;176;131;115
12;информатики;683;55;37;42;28;78;53;92;71;96;75;92;76;99;77;54;40;52;44;23;16
13;физики;900;37;24;44;31;46;33;57;46;90;66;108;95;135;108;137;113;117;89;129;97
14;математики;2666;163;148;122;105;155;149;242;232;293;280;324;309;389;378;340;329;356;340;282;276
15;химии;642;15;14;26;24;28;26;41;39;67;63;71;67;107;102;100;97;94;91;93;87
16;географии;825;31;20;34;30;36;34;46;46;77;70;121;116;153;145;129;124;118;109;80;76
17;биологии;831;30;26;33;32;36;34;74;72;83;82;117;114;126;125;131;126;104;100;97;90
18;иностранных языков;2932;211;199;175;164;309;295;491;476;504;495;341;332;240;236;209;205;207;201;245;236
19;из них:                         английского языка;2644;201;189;169;160;295;281;460;445;473;464;309;295;212;208;175;172;159;154;191;183
20;немецкого языка;254;6;6;5;3;11;11;27;27;29;29;30;30;23;23;29;28;44;43;50;49
