;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;13555;2647;6349;4559;13554;1;
2;из них:        русский язык;2271;740;1312;219;2271;;
3;литературное чтение;302;302;;;302;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;302;302;;;302;;
7;математика;5591;637;2180;2774;5591;;
8;изобразительное искусство;553;302;251;;553;;
9;музыка;627;302;325;;627;;
10;труд (технология);533;302;231;;533;;
11;физическая культура;761;302;367;92;761;;
12;литература;1108;;396;712;1107;1;
13;родная литература;;;;;;;
14;иностранный язык;5797;2094;3108;595;5797;;
15;из них:              английский;5474;1973;2915;586;5474;;
16;немецкий;287;10;226;51;287;;
17;французский;445;111;334;;445;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;1105;;734;371;1105;;
23;история;797;;500;297;797;;
24;обществознание;3026;;499;2527;3025;1;
25;география;558;;391;167;558;;
26;физика;1563;;639;924;1563;;
27;химия;957;;307;650;957;;
28;биология;1573;;744;829;1573;;
29;основы безопасности и защиты Родины;234;;234;;234;;
