;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);13;66;88;694
2;в том числе       инженерные;;2;;34
3;медицинские;;2;;60
4;космические;;;;
5;педагогические;1;44;3;237
6;аграрные;12;5;85;26
7;предпринимательские;;;;
8;кадетские;;;;
9;IT-классы;;;;
10;другие;;13;;337
