;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);16099;9422;8243;1;40;1;5;3793;1298;1466;2376;3512;12;19;13420;
2;в том числе:       руководящие работники – всего;1055;984;808;;14;;;57;14;6;171;196;1;4;906;
3;из них:             директор;272;266;251;;8;;;2;2;;49;61;;;213;
4;заместители директора;643;591;460;;6;;;37;7;4;109;87;1;4;566;
5;руководитель филиала;86;80;71;;;;;4;3;;6;41;;;75;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);9340;7725;7330;1;26;1;5;1428;1235;19;2205;3305;11;15;8461;6746.2
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);7774;6701;6440;1;24;1;4;953;856;10;1988;2971;11;14;6991;5555
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2300;1826;1803;;2;;;454;433;1;682;941;5;4;2289;1680.7
9;русского языка и литературы;983;928;921;;9;;2;47;46;1;277;381;3;1;957;
10;языка народов России и литературы;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;495;457;431;;4;;;29;24;;109;207;;;416;
12;информатики;210;194;170;;1;;;8;5;1;57;77;;2;164;
13;физики;268;259;253;;;;;4;4;;72;97;;;214;
14;математики;790;753;729;;1;;;28;27;;180;298;;;756;
15;химии;192;184;173;;;;;5;5;;51;76;;3;177;
16;географии;246;226;215;;1;;1;16;14;;64;97;1;;219;
17;биологии;242;232;226;;2;;1;7;5;;71;92;;1;233;
18;иностранных языков;827;773;751;;4;;;32;27;;172;272;;2;779;
19;из них:                         английского языка;767;703;677;;3;;;28;24;;151;246;;2;724;
20;немецкого языка;42;41;41;;;;;1;1;;12;19;;;40;
21;французского языка;15;15;15;;;;;;;;8;3;;;14;
22;китайского языка;2;1;1;;;;;;;;;1;;;;
23;физической культуры;505;390;381;;;;;106;95;1;118;196;2;1;256;
24;труда (технологии);296;197;159;;;;;92;71;2;54;107;;;205;
25;музыки и пения;137;81;68;;;;;49;39;2;36;41;;;128;
26;изобразительного искусства, черчения;112;62;50;;;;;48;41;1;25;37;;;109;
27;основ безопасности и защиты Родины;106;88;66;;;;;15;9;1;14;41;;;32;
28;основ духовно-нравственной культуры народов России;7;6;6;;;;;1;1;;;1;;;6;
29;прочих предметов;58;45;38;1;;1;;12;10;;6;10;;;51;
30;учителя-логопеды;101;96;93;;;;;5;3;;22;21;;;100;85.4
31;учителя-дефектологи;52;47;47;;;;;4;3;;15;10;;1;52;55.7
32;из них:                   олигофренопедагог;9;8;8;;;;;1;1;;2;3;;;9;7
33;тифлопедагог;8;7;7;;;;;1;1;;6;;;;8;9.5
34;сурдопедагог;8;8;8;;;;;;;;;;;1;8;17
35;социальные педагоги;91;82;73;;1;;;9;8;;11;23;;;89;55.5
36;педагоги дополнительного образования;126;89;70;;1;;;28;18;1;21;13;;;77;76.6
37;педагоги-психологи;173;158;138;;;;1;10;9;;30;31;;;168;115.2
38;воспитатели;703;350;312;;;;;325;276;6;111;187;;;691;528.6
39;мастера производственного обучения;;;;;;;;;;;;;;;;2.5
40;тьюторы;34;18;15;;;;;14;13;;;4;;;33;34.2
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;109;79;70;;;;;22;17;;4;13;;;106;43.5
42;другие;177;105;72;;;;;58;32;2;3;32;;;154;101.2
43;учебно-вспомогательный персонал;742;294;63;;;;;287;19;81;;9;;;677;
44;иной персонал;4962;419;42;;;;;2021;30;1360;;2;;;3376;
45;из них:             ассистент (помощник);5;;;;;;;4;1;;;;;;4;1
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;212;90;79;;;;;102;88;4;13;68;;;210;
49;из них воспитатели;194;78;68;;;;;98;74;4;10;63;;;192;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;10;3;3;;;;;;;;;;;;;
51;из них учителя;9;3;2;;;;;;;;;;;;;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;186;152;141;;;;2;32;29;;40;29;;2;166;
53;из них учителя - всего;141;125;116;;;;2;14;12;;31;22;;2;121;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;36;28;28;;;;;8;8;;7;11;;2;35;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;145;79;76;;;;;30;29;;13;41;;;80;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;11;10;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;766;;;;;;;;;;;;;;;
58;из них директор;230;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;7738;;;;;;;;;;;;;;;
60;из них учителя;6209;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);136;;;;;;;;;;;;;;;
62;из них женщин;125;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;41;;;;;;;;;;;;;;;
64;медицинские сестры;95;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;6985;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;5370;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;5135;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;235;;;;;;;;;;;;;;;
