;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);20006;6816;10011;2770;185;109;6;109;245;18893;1105;8
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;282;64;196;9;1;12;;;1;282;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;3;1;2;;;;;;;3;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;5;2;3;;;;;;;5;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;16070;6487;8534;726;171;64;;88;26;16049;21;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;428;154;217;19;24;4;;10;;428;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;68;37;30;1;;;;;;68;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;648;;179;460;;9;;;4;644;4;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;858;;328;516;;10;4;;7;856;2;
10;в связи с переходом на семейное образование и самообразование;504;191;248;63;;2;;;2;492;4;8
11;по болезни;6;;1;5;;;;;;6;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;233;;206;27;;;;;6;216;17;
13;выбыло по другим причинам;1405;74;319;964;13;12;2;21;199;348;1057;
