;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);44857;25156;20837;8;148;3;34;13353;6383;3671;7994;5823;10;78;39117;
2;в том числе:       руководящие работники – всего;2029;1921;1340;1;40;;8;78;12;11;112;29;;1;1772;
3;из них:             директор;621;618;579;1;25;;7;1;1;;39;8;;;480;
4;заместители директора;892;853;582;;14;;1;19;5;4;66;18;;1;795;
5;руководитель филиала;5;5;5;;;;;;;;;;;;1;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);27256;20521;19135;3;92;1;21;6429;5982;65;7878;5790;10;77;25107;22695.4
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);18098;15174;14437;3;83;1;20;2752;2579;17;5373;3679;5;67;16402;14311.6
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;5618;3791;3646;;3;;1;1788;1735;2;1626;1330;;29;5591;4659.6
9;русского языка и литературы;2106;2019;1992;;22;;3;73;71;2;802;363;1;7;2081;
10;языка народов России и литературы;4;3;3;;;;;;;;2;;;;4;
11;истории, экономики, права, обществознания;1202;1165;1115;1;15;1;2;27;24;;358;242;1;3;972;
12;информатики;533;490;431;;5;;2;32;24;;165;110;;3;420;
13;физики;565;552;521;;5;;1;7;6;;192;99;;;474;
14;математики;1801;1745;1679;2;14;;5;44;37;;515;356;1;8;1706;
15;химии;418;411;398;;;;;3;3;;159;64;;1;395;
16;географии;443;424;405;;3;;1;18;17;;153;96;;1;407;
17;биологии;567;540;524;;1;;1;22;18;1;215;101;;2;535;
18;иностранных языков;2010;1892;1823;;6;;1;95;86;;450;408;;7;1936;
19;из них:                         английского языка;1899;1758;1666;;4;;1;89;80;;407;372;;7;1828;
20;немецкого языка;74;68;66;;1;;;5;4;;23;19;;;73;
21;французского языка;35;34;34;;;;;;;;15;5;;;33;
22;китайского языка;1;1;1;;;;;;;;;;;;1;
23;физической культуры;1336;1042;990;;;;;272;252;4;392;264;;5;691;
24;труда (технологии);539;382;303;;1;;;146;110;5;120;99;1;1;387;
25;музыки и пения;304;193;173;;1;;;107;98;;90;51;;;288;
26;изобразительного искусства, черчения;294;213;183;;1;;1;79;66;2;78;55;;;281;
27;основ безопасности и защиты Родины;143;127;97;;3;;;14;11;;27;27;1;;33;
28;основ духовно-нравственной культуры народов России;12;12;11;;;;;;;;2;3;;;12;
29;прочих предметов;203;173;143;;3;;2;25;21;1;27;11;;;189;
30;учителя-логопеды;706;682;669;;;;;24;21;;204;162;;1;706;621.2
31;учителя-дефектологи;207;193;190;;;;;13;12;;65;30;;;205;171
32;из них:                   олигофренопедагог;89;86;82;;;;;3;2;;28;14;;;89;75.5
33;тифлопедагог;8;8;8;;;;;;;;4;1;;;8;8
34;сурдопедагог;15;15;15;;;;;;;;7;5;;;13;4.4
35;социальные педагоги;68;56;47;;;;;11;7;;5;4;;;67;53
36;педагоги дополнительного образования;808;542;430;;;;;246;206;13;168;186;;;582;758.2
37;педагоги-психологи;526;509;478;;4;;;14;13;2;111;84;;1;516;453
38;воспитатели;4805;1887;1643;;;;;2844;2676;27;1462;1386;4;8;4785;4592.5
39;мастера производственного обучения;2;1;;;;;;1;;;;;;;;1
40;тьюторы;38;29;21;;;;;9;8;;;1;;;35;25
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;627;496;435;;;;;124;113;1;71;67;;;603;497.5
42;другие;1371;952;785;;5;;1;391;347;5;419;191;1;;1206;1298.5
43;учебно-вспомогательный персонал;4690;1311;167;;1;;;2102;238;678;4;3;;;4538;
44;иной персонал;10882;1403;195;4;15;2;5;4744;151;2917;;1;;;7700;
45;из них:             ассистент (помощник);1;;;;;;;;;;;;;;1;
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;5917;2809;2569;;1;;;2992;2826;21;1938;1586;5;10;5901;
49;из них воспитатели;4479;1707;1500;;;;;2673;2527;18;1362;1288;4;8;4478;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;83;79;73;;;;;3;3;;11;12;;;72;
51;из них учителя;74;40;36;;;;;3;3;;10;12;;;63;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;1291;864;816;;1;;;273;243;3;288;230;;1;1109;
53;из них учителя - всего;733;491;478;;1;;;135;121;;154;132;;;584;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;256;136;130;;;;;77;70;;48;50;;;207;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;12442;10289;9826;;28;;3;1992;1840;9;3303;2467;1;38;10907;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;168;159;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;1750;;;;;;;;;;;;;;;
58;из них директор;613;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;26190;;;;;;;;;;;;;;;
60;из них учителя;17478;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);257;;;;;;;;;;;;;;;
62;из них женщин;253;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;36;;;;;;;;;;;;;;;
64;медицинские сестры;221;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;17809;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;14127;;;;;;;;;;;;;;;
