;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);44857;2883;1567;3434;4236;4832;27905;28754;2991;1712;3434;3171;2721;14725;16103
2;в том числе:       руководящие работники – всего;2029;4;9;50;125;229;1612;1433;27;17;119;151;135;984;596
3;из них:             директор;621;1;2;17;29;48;524;614;6;3;47;49;42;467;7
4;заместители директора;892;2;7;26;65;122;670;642;17;10;50;79;67;419;250
5;руководитель филиала;5;;;;;1;4;5;1;;;;2;2;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);27256;2275;1181;2279;2614;2864;16043;26763;2887;1637;3215;2970;2535;13519;493
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);18098;1671;826;1435;1504;1599;11063;17713;1786;1027;1867;1630;1493;9910;385
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;5618;543;298;479;421;413;3464;5500;542;355;561;472;366;3204;118
9;русского языка и литературы;2106;161;75;109;139;147;1475;2084;174;86;154;163;146;1361;22
10;языка народов России и литературы;4;1;;;;;3;4;1;;;;;3;
11;истории, экономики, права, обществознания;1202;118;87;108;104;98;687;1176;127;96;134;110;103;606;26
12;информатики;533;69;28;51;58;71;256;520;73;37;62;62;65;221;13
13;физики;565;38;12;23;37;44;411;561;43;16;39;38;47;378;4
14;математики;1801;139;55;119;118;135;1235;1770;152;81;165;131;110;1131;31
15;химии;418;28;21;32;26;22;289;416;34;26;39;28;26;263;2
16;географии;443;19;16;24;35;37;312;439;28;16;39;47;29;280;4
17;биологии;567;44;30;47;29;56;361;555;51;35;60;29;47;333;12
18;иностранных языков;2010;242;102;211;277;314;864;1960;243;129;266;279;292;751;50
19;из них:                         английского языка;1899;232;96;206;270;303;792;1852;233;121;261;268;283;686;47
20;немецкого языка;74;7;4;5;5;9;44;72;7;7;5;9;7;37;2
21;французского языка;35;3;1;;2;2;27;34;2;1;;2;2;27;1
22;китайского языка;1;;1;;;;;1;1;;;;;;
23;физической культуры;1336;187;71;150;139;123;666;1289;196;81;181;143;128;560;47
24;труда (технологии);539;19;9;30;43;45;393;528;45;26;58;45;41;313;11
25;музыки и пения;304;29;11;10;29;22;203;295;26;13;18;33;24;181;9
26;изобразительного искусства, черчения;294;20;4;16;24;33;197;288;26;13;36;17;30;166;6
27;основ безопасности и защиты Родины;143;5;3;10;9;15;101;140;11;12;31;17;12;57;3
28;основ духовно-нравственной культуры народов России;12;1;1;1;1;1;7;11;1;;2;1;1;6;1
29;прочих предметов;203;8;3;15;15;23;139;177;13;5;22;15;26;96;26
30;учителя-логопеды;706;49;28;76;107;116;330;700;66;32;116;125;101;260;6
31;учителя-дефектологи;207;13;13;19;31;33;98;203;21;17;23;31;28;83;4
32;из них:                   олигофренопедагог;89;3;3;5;12;20;46;87;7;5;10;12;17;36;2
33;тифлопедагог;8;;;;;;8;8;;;;;;8;
34;сурдопедагог;15;;;;9;;6;15;;;;8;1;6;
35;социальные педагоги;68;3;2;6;8;7;42;66;10;4;8;8;4;32;2
36;педагоги дополнительного образования;808;76;41;78;83;92;438;794;126;59;124;100;83;302;14
37;педагоги-психологи;526;39;12;71;71;82;251;512;64;35;94;84;72;163;14
38;воспитатели;4805;298;172;391;580;689;2675;4774;575;315;681;741;564;1898;31
39;мастера производственного обучения;2;1;;;;;1;2;1;1;;;;;
40;тьюторы;38;7;2;3;12;7;7;37;11;5;11;3;2;5;1
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;627;82;60;113;87;75;210;621;133;78;118;86;44;162;6
42;другие;1371;36;25;87;131;164;928;1341;94;64;173;162;144;704;30
43;учебно-вспомогательный персонал;4690;318;174;462;631;677;2428;334;56;39;62;35;25;117;4356
44;иной персонал;10882;286;203;643;866;1062;7822;224;21;19;38;15;26;105;10658
45;из них:             ассистент (помощник);1;;;;;;1;;;;;;;;1
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;5917;317;184;495;735;894;3292;5894;626;338;841;938;746;2405;23
49;из них воспитатели;4479;282;159;386;565;663;2424;4463;550;293;659;715;542;1704;16
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;83;3;2;;6;6;66;83;7;1;6;6;7;56;
51;из них учителя;74;3;2;;5;6;58;74;7;1;6;5;7;48;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
