;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);3387;2116;1915.5
2;в том числе:       руководящие работники – всего;40;36;32.6
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);2309;1614;1294.7
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);410;301;295.3
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;12;11;13.2
6;русского языка и литературы;20;20;12.9
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;17;10;9.2
9;информатики;18;10;12.5
10;физики;31;23;20.5
11;математики;26;23;19
12;химии;29;23;19
13;географии;7;6;5.6
14;биологии;18;17;13.9
15;иностранных языков;45;43;38.5
16;из них:                      английского языка;44;42;38
17;немецкого языка;;;
18;французского языка;1;1;0.5
19;китайского языка;;;
20;физической культуры;78;38;63.8
21;труда (технологии);16;9;11.7
22;музыки и пения;22;20;15.1
23;изобразительного искусства, черчения;12;9;7.2
24;основ безопасности и защиты Родины;15;2;10.5
25;основ духовно-нравственной культуры народов России;1;;1
26;прочих предметов;43;37;33.6
27;учителя-логопеды;75;75;55.7
28;учителя-дефектологи;51;51;39.6
29;из них:                олигофренопедагог;20;20;14.6
30;тифлопедагог;;;
31;сурдопедагог;1;1;
32;социальные педагоги;9;8;6
33;педагоги дополнительного образования;1282;906;592.4
34;педагоги-психологи;82;79;47
35;воспитатели;27;25;19.6
36;мастера производственного обучения;;;
37;тьюторы;5;3;4
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;3;2;2
39;другие;365;164;236.4
40;учебно-вспомогательный персонал;172;123;88.1
41;иной персонал;866;343;599.3
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;80;78;53.8
46;из них воспитатели;13;13;9.5
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;47;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;27;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);246;;
53;из них женщин;241;;
54;в том числе:          врачи всех специальностей;82;;
55;медицинские сестры;164;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;323;;
