;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);72068.31;71832.22;69869.55;46081;5675;521;1072;6899;6781;44857;248
2;в том числе:       руководящие работники – всего;2484.5;2478.75;2448.95;2251;163;;46;378;365;2029;7
3;из них:             директор;667.25;664.25;664.25;638;42;;13;64;61;621;3
4;заместители директора;1225.55;1223.55;1209;1029;68;;27;203;194;892;2
5;руководитель филиала;8;8;8;7;;;;2;2;5;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);47946.42;47828.43;46582.57;27745;3549;355;919;4050;3978;27256;124
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);34004.94;34003.94;33674.72;18658;2045;240;672;2565;2508;18098;1
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;8616.34;8616.34;8605.89;5801;502;122;105;677;663;5618;
9;русского языка и литературы;3895.67;3895.67;3885.07;2153;218;12;88;266;263;2106;
10;языка народов России и литературы;6.71;6.71;6.71;8;;;;4;4;4;
11;истории, экономики, права, обществознания;2093.23;2093.23;2079.56;1267;164;5;57;226;220;1202;
12;информатики;875.95;875.95;863.14;539;65;7;25;68;65;533;
13;физики;1008.44;1008.44;990.15;579;75;4;29;86;84;565;
14;математики;3392.47;3392.47;3372.48;1828;216;13;79;239;237;1801;
15;химии;658.34;658.34;642.22;413;47;1;20;45;44;418;
16;географии;863.17;862.17;857.34;442;53;4;13;42;41;443;1
17;биологии;917.7;917.7;905.09;592;71;3;24;92;91;567;
