;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
1;2;3;4;5;6;7;8
№ строки;Наименование показателей;Код государства  по ОКСМ;Всего (сумма граф 5–8);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального об-щего образова-ния (1-4 классы);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам основного об-щего образова-ния (5–9 классы);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам среднего общего образования (10–11(12) классы);Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья
1;Численность обучающихся иностранных граждан - всего;;14633;7327;6264;681;361
2;Афганистан;4;21;12;8;1;
3;Ангола;24;1;1;;;
4;Азербайджан;31;1175;520;540;80;35
5;Армения;51;485;187;252;39;7
6;Болгария;100;2;2;;;
7;Беларусь;112;867;320;449;77;21
8;Канада;124;2;1;1;;
9;Китай;156;82;27;48;6;1
10;Конго, Демократическая Республика;180;1;1;;;
11;Куба;192;1;1;;;
12;Чехия;203;4;1;3;;
13;Эстония;233;38;11;20;7;
14;Финляндия;246;3;2;1;;
15;Франция;250;2;1;1;;
16;Грузия;268;116;46;58;11;1
17;Палестина, Государство;275;7;2;5;;
18;Германия;276;5;4;1;;
19;Греция;300;1;1;;;
20;Индия;356;1;;1;;
21;Иран (Исламская Республика);364;2;1;1;;
22;Ирак;368;1;;1;;
23;Израиль;376;15;7;4;4;
24;Италия;380;8;5;2;1;
25;Япония;392;3;;3;;
26;Казахстан;398;452;168;225;44;15
27;Иордания;400;2;1;1;;
28;Корея, Народно-Демократическая Республика;408;3;;1;2;
29;Корея, Республика;410;11;3;5;3;
30;Киргизия;417;1653;924;633;43;53
31;Ливан;422;1;;1;;
32;Латвия;428;68;15;32;19;2
33;Литва;440;14;5;7;;2
34;Монголия;496;15;5;9;1;
35;Молдова, Республика;498;295;112;143;27;13
36;Нидерланды, Королевство;528;2;2;;;
37;Новая Зеландия;554;1;;;1;
38;Нигерия;566;2;2;;;
39;Пакистан;586;1;1;;;
40;Польша;616;2;1;1;;
41;Румыния;642;1;;;1;
42;Руанда;646;1;1;;;
43;Сербия;688;5;2;1;2;
44;Словакия;703;2;;1;1;
45;Вьетнам;704;16;5;7;4;
46;Испания;724;10;4;5;;1
47;Швеция;752;1;;;1;
48;Сирийская Арабская Республика;760;16;9;7;;
49;Таджикистан;762;4493;2479;1822;85;107
50;Объединенные Арабские Эмираты;784;1;1;;;
51;Турция;792;3;2;1;;
52;Туркменистан;795;57;25;28;2;2
53;Украина;804;560;160;354;32;14
54;Египет;818;5;5;;;
55;Соединенное Королевство Великобритании и Северной Ирландии;826;2;;1;1;
56;Соединенные Штаты;840;21;11;7;;3
57;Виргинские Острова (США);850;1;1;;;
58;Узбекистан;860;4051;2215;1568;184;84
59;Венесуэла, Боливарианская Республика;862;3;1;;2;
60;Йемен;887;4;2;2;;
61;Замбия;894;1;1;;;
62;Абхазия;895;14;11;3;;
63;;;;;;;
64;;;;;;;
65;;;;;;;
66;;;;;;;
67;;;;;;;
68;;;;;;;
69;;;;;;;
70;;;;;;;
71;;;;;;;
72;;;;;;;
73;;;;;;;
74;;;;;;;
75;;;;;;;
76;;;;;;;
77;;;;;;;
78;;;;;;;
79;;;;;;;
80;;;;;;;
81;;;;;;;
82;;;;;;;
83;;;;;;;
84;;;;;;;
85;;;;;;;
86;;;;;;;
87;;;;;;;
88;;;;;;;
89;;;;;;;
90;;;;;;;
91;;;;;;;
92;;;;;;;
93;;;;;;;
94;;;;;;;
95;;;;;;;
96;;;;;;;
97;;;;;;;
98;;;;;;;
99;;;;;;;
100;;;;;;;
101;;;;;;;
102;;;;;;;
103;;;;;;;
104;;;;;;;
105;;;;;;;
106;;;;;;;
107;;;;;;;
108;;;;;;;
109;;;;;;;
110;;;;;;;
111;;;;;;;
112;;;;;;;
113;;;;;;;
114;;;;;;;
115;;;;;;;
116;;;;;;;
117;;;;;;;
118;;;;;;;
119;;;;;;;
120;;;;;;;
121;;;;;;;
122;;;;;;;
123;;;;;;;
124;;;;;;;
125;;;;;;;
126;;;;;;;
127;;;;;;;
128;;;;;;;
129;;;;;;;
130;;;;;;;
