;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;"Всего обу-чающихся (сумма граф 4,10; сумма граф 16-18)";Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Всего;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) лица с огра- ниченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): дети-инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) инвалиды  (кроме учтенных в гр. 6);Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) дети-инвали- ды (кроме учтенных в гр. 7);Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) лица с огра- ниченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) инвалиды  (кроме учтенных в гр. 12);Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) дети-инвали- ды (кроме учтенных в  гр. 13);В том числе обучающихся (из гр.3) очно;В том числе обучающихся (из гр.3) очно-заочно;В том числе обучающихся (из гр.3) заочно
1;Численность обучающихся – всего;595883;570536;2226;1;234;38;3713;25347;25347;298;9022;;1;593743;779;1361
2;из них обучаются:       по программам, реализуемым с использованием сетевой формы;68482;64796;101;;18;2;241;3686;3686;69;1325;;;68119;185;178
3;с применением электронного обучения;25142;24454;77;;17;;76;688;688;7;104;;;25142;;
4;с применением дистанционных образовательных технологий;20967;20546;202;;14;1;204;421;421;14;130;;;20838;71;58
5;по индивидуальным учебным планам;4696;2771;424;1;67;7;392;1925;1925;47;1335;;1;4623;73;
6;на дому;5733;3041;161;1;49;9;504;2692;2692;99;1832;;;5637;96;
7;в медицинской организации;217;179;;;;;;38;38;;20;;;217;;
8;из суммы строк 06 и 07:             с применением дистанционных образовательных технологий             (из строки 04);480;294;63;;3;1;50;186;186;13;115;;;409;71;
9;по индивидуальным учебным планам (из строки 05);3256;1878;112;1;27;6;282;1378;1378;44;890;;;3186;70;
