;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);6169;3268;3505.9
2;в том числе:       руководящие работники – всего;95;63;59.1
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);3355;2038;1902.4
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);1232;849;750.4
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;95;82;61.8
6;русского языка и литературы;52;48;35.9
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;81;38;46.5
9;информатики;92;51;48.7
10;физики;79;37;48.2
11;математики;74;58;48.8
12;химии;58;45;41.7
13;географии;37;29;22
14;биологии;52;40;32.6
15;иностранных языков;58;53;41.6
16;из них:                      английского языка;46;45;32.6
17;немецкого языка;6;4;3.1
18;французского языка;3;2;2.2
19;китайского языка;1;1;1.4
20;физической культуры;82;27;54.7
21;труда (технологии);75;49;44.3
22;музыки и пения;102;71;56.1
23;изобразительного искусства, черчения;35;32;20.2
24;основ безопасности и защиты Родины;34;5;18.4
25;основ духовно-нравственной культуры народов России;4;3;2.7
26;прочих предметов;222;181;118.6
27;учителя-логопеды;43;43;26.2
28;учителя-дефектологи;21;18;8.5
29;из них:                олигофренопедагог;14;13;6.3
30;тифлопедагог;;;
31;сурдопедагог;3;1;4.2
32;социальные педагоги;9;8;5.5
33;педагоги дополнительного образования;1497;747;770.2
34;педагоги-психологи;52;45;31.3
35;воспитатели;38;35;22.7
36;мастера производственного обучения;;;
37;тьюторы;5;3;2.2
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;5;5;8.5
39;другие;453;285;246.9
40;учебно-вспомогательный персонал;607;309;345.9
41;иной персонал;2112;858;1238.1
42;из них:             ассистент(помощник);5;4;2
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;12;10;9.3
46;из них воспитатели;3;3;2.5
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;11;7;5.2
48;из них учителя;10;6;4.7
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;50;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;14;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);1228;;
53;из них женщин;1181;;
54;в том числе:          врачи всех специальностей;557;;
55;медицинские сестры;671;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;1075;;
