;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);251433;2271;;12016;3;24473;46
2;Образовательные программы начального общего образования;100058;511;12;4927;3;9697;21
3;из них адаптированные;1612;1;;41;;95;1
4;в том числе:           для глухих;19;;;;;;
5;для слабослышащих и позднооглохших;72;;;1;;4;
6;для слепых;16;;;;;;
7;для слабовидящих;88;;;;;2;
8;с тяжелыми нарушениями речи;146;;;2;;7;
9;с нарушениями опорно-двигательного аппарата;160;;;4;;15;1
10;с задержкой психического развития;857;;;26;;56;
11;с расстройствами аутистического спектра;254;1;;8;;11;
12;Образовательные программы основного общего образования;125646;1469;13;5865;;12224;23
13;из них адаптированные;1361;6;2;34;;95;2
14;в том числе:           для глухих;21;;;;;1;
15;для слабослышащих и позднооглохших;93;;;2;;4;
16;для слепых;13;;;;;;
17;для слабовидящих;98;;;;;;
18;с тяжелыми нарушениями речи;72;;;;;1;
19;с нарушениями опорно-двигательного аппарата;123;;;6;;20;2
20;с задержкой психического развития;857;6;2;23;;62;
21;с расстройствами аутистического спектра;84;;;3;;7;
22;Образовательные программы среднего общего образования;21088;285;10;1151;;2182;1
23;из них адаптированные;27;;;1;;4;1
24;в том числе:           для глухих;;;;;;;
25;для слабослышащих и позднооглохших;1;;;;;;
26;для слепых;2;;;;;;
27;для слабовидящих;10;;;;;;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;4;;;1;;3;1
30;с задержкой психического развития;10;;;;;1;
31;с расстройствами аутистического спектра;;;;;;;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);4641;6;1;73;;370;1
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);724;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;9;;;;;;
35;основного общего образования (из строки 12);648;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;17;;;;;;
37;среднего общего образования (из строки 22);91;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);272;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;164;;;;;;
