;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателя;Всего (сумма граф 04 - 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Число классов без углубленного изучения предметов, ед.;11528;1140;1189;1244;1265;1213;1232;1184;1196;1204;329;279;35;18
2;В них обучающихся, чел.;197698;18918;20826;22145;22701;20942;21444;19825;20159;21042;4883;3978;540;295
3;Число классов с углубленным изучением отдельных предметов, ед.;754;3;6;7;7;32;25;46;44;38;274;270;2;
4;В них обучающихся, чел.;13426;65;175;180;197;959;800;1196;1085;997;4033;3734;5;
5;Число гимназических классов, ед.;556;49;57;63;60;57;54;58;53;54;26;25;;
6;В них обучающихся, чел.;15539;1366;1662;1791;1761;1645;1575;1554;1386;1471;692;636;;
7;Число лицейских классов, ед.;728;64;68;72;72;73;75;69;75;70;46;44;;
8;В них обучающихся, чел.;20820;1813;2060;2134;2162;2132;2160;2021;2099;1950;1218;1071;;
9;Итого классов (без классов для обучающихся с ограниченными возможностями здоровья) (сумма строк 01, 03, 05, 07), ед.;13566;1256;1320;1386;1404;1375;1386;1357;1368;1366;675;618;37;18
10;"В них обучающихся (сумма строк 02, 04, 06, 08;  сумма строк 11 - 13), чел.";247483;22162;24723;26250;26821;25678;25979;24596;24729;25460;10826;9419;545;295
11;в том числе обучаются:          очно;246551;22157;24716;26245;26813;25661;25973;24576;24710;25397;10426;9406;287;184
12;очно-заочно;840;5;7;4;8;5;5;1;9;15;400;12;258;111
13;заочно;92;;;1;;12;1;19;10;48;;1;;
14;Из строки 10:          воспитанники (без приходящих учащихся);10055;1009;998;1066;1107;1001;1080;985;989;1087;391;342;;
15;девочки;120258;10696;12113;12755;12853;12456;12629;12056;12034;12241;5344;4983;65;33
16;оставленные на повторное обучение;1073;99;132;74;102;39;42;45;63;474;1;2;;
17;лица с ограниченными возможностями здоровья;4164;305;319;502;562;455;463;471;503;538;26;20;;
18;из них:                инвалиды;206;16;18;25;17;18;25;23;26;27;4;7;;
19;дети-инвалиды;1068;128;99;127;148;112;112;95;118;103;16;10;;
20;инвалиды (кроме учтенных в строке 18);108;5;9;7;11;15;9;15;13;14;7;3;;
21;дети-инвалиды (кроме учтенных в строке 19);1152;68;98;106;118;119;120;102;139;153;63;66;;
22;дети-сироты и дети, оставшиеся без попечения родителей;1725;84;114;144;157;185;192;209;241;258;70;71;;
23;из них воспитанники (без приходящих учащихся);111;8;10;15;10;7;10;13;13;19;4;2;;
24;обучающиеся иностранные граждане;1046;115;141;133;127;90;100;117;86;84;32;17;2;2
25;из них девочки;433;55;60;62;45;42;36;46;33;38;8;8;;
26;обучающиеся лица без гражданства;145;17;21;13;15;15;8;18;24;10;;4;;
