;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
№ строки;Наименование показателей;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Всего (сумма граф 9–11);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 дети-инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 5);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 6);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно-заочно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались заочно;Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 14);Классы для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 15);Итого по всем классам (сумма граф 3, 12);Кроме того, численность экстернов;из них лица с ограни- ченными возможностя- ми здоровья;из них из графы 20 инвалиды;из них из графы 20 дети-инвалиды;из них инвалиды (кроме учтенных в графе 21);из них дети-инвалиды (кроме учтенных в графе 22)
1;Численность обучающихся (гр. 3–18) и экстернов (гр. 19–24), допущенных к ГИА по образовательным программам основного общего образования (сумма строк 02, 04, 05);24287;263;16;92;7;57;24236;23;28;76;76;9;33;;;24363;210;4;1;;;1
2;в том числе:       получили аттестат об основном общем образовании;23709;231;14;84;7;55;23664;23;22;50;50;9;29;;;23759;143;3;1;;;1
3;из них (из строки 02) продолжили обучение по образовательной          программе среднего общего образования в данной организации;8616;29;2;20;3;19;8616;;;;;;;;;8616;5;;;;;
4;получили на ГИА неудовлетворительные результаты;521;11;1;;;;516;;5;;;;;;;521;60;;;;;
5;не участвовали в ГИА;57;21;1;8;;2;56;;1;26;26;;4;;;83;7;1;;;;
6;Из строки 02 получили аттестат об основном общем образовании:    с отличием;1179;5;2;3;;2;1178;1;;;;;;;;1179;3;;;;;
7;в IV квартале прошлого года;1755;6;1;1;;2;1755;;;;;;;;;1755;8;;;;;1
8;после 1 сентября текущего года;617;10;;2;;1;617;;;;;;;;;617;17;;;;;
9;Численность обучающихся (графы 3–18) и экстернов (графы 19–24), допущенных к ГИА по образовательным программам среднего общего образования (сумма строк 10–12);8887;36;6;27;5;25;8825;58;4;2;2;1;;;;8889;47;1;1;;;3
10;в том числе:       получили аттестат о среднем общем образовании;8817;35;5;27;5;25;8756;57;4;2;2;1;;;;8819;45;1;1;;;3
