;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);14381;4755;7569;1808;21;66;2;160;365;14028;312;41
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;119;31;67;21;;;;;;119;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;1;1;;;;;;;;1;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;16;8;8;;;;;;;16;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;12080;4612;6683;607;21;36;1;120;7;11986;60;34
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;215;72;120;16;2;;;5;;214;;1
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;93;39;46;8;;;;;;93;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;723;;305;389;;28;1;;3;722;1;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;488;;163;325;;;;;10;488;;
10;в связи с переходом на семейное образование и самообразование;317;94;185;37;;;;1;2;309;1;7
11;по болезни;;;;;;;;;;;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;116;;104;12;;;;;6;116;;
13;выбыло по другим причинам;538;18;62;417;;2;;39;337;288;250;
