;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);45944.34;42996.41;40450.11;33776;4072;1022;1656;4213;3898;33635;462
2;в том числе:       руководящие работники – всего;2273.88;2177.35;2103.81;2123;167;10;112;245;226;2049;18
3;из них:             директор;532.96;514.46;497.46;532;27;2;16;44;42;531;4
4;заместители директора;1440.22;1360.42;1289.55;1270;121;6;81;154;141;1263;10
5;руководитель филиала;265.73;247.8;231;241;16;2;9;35;28;245;3
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);28187.59;26399.41;24786.04;19862;2397;342;1427;2361;2257;19914;267
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);23508.39;22109.15;20764.26;16792;1790;234;1094;1829;1747;16731;165
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;5690.21;5452.93;5273.61;4849;403;109;194;441;422;4785;12
9;русского языка и литературы;3041.54;2862.47;2682.57;2043;244;25;169;236;228;2053;19
10;языка народов России и литературы;10.88;9.21;8.05;5;;;;;;3;
11;истории, экономики, права, обществознания;1667.19;1558.97;1447.66;1112;125;6;97;123;116;1121;10
12;информатики;651.92;607.66;558.99;462;55;3;31;68;65;447;11
13;физики;785.3;740.74;674.41;566;71;1;51;66;62;574;22
14;математики;2584.1;2418.78;2252.25;1586;197;12;134;184;173;1629;39
15;химии;578.86;543.33;495.61;453;50;2;34;49;47;452;5
16;географии;765.85;718.78;669.73;566;54;5;37;58;54;568;4
17;биологии;816.11;772.12;723.96;596;66;1;42;63;60;595;1
18;иностранных языков;2512.33;2355.52;2190.41;1733;213;7;146;210;206;1738;25
19;из них:                         английского языка;2052.72;1913.96;1763.24;1350;182;6;124;160;155;1418;20
20;немецкого языка;380.98;360.64;339.35;302;17;;14;39;38;297;4
21;французского языка;25.31;21.88;20.94;23;;;;5;5;17;
22;китайского языка;2;2;1;1;;;;;;1;
23;физической культуры;1615.1;1523.9;1428.55;1230;120;28;56;142;129;1205;5
24;труда (технологии);969.54;901.01;831.97;634;67;13;33;63;63;640;3
25;музыки и пения;467.13;439.29;407.65;371;39;13;16;38;38;371;2
26;изобразительного искусства, черчения;256.57;243.48;219.34;159;24;1;14;19;18;161;1
27;основ безопасности и защиты Родины;326.07;302.66;283.12;254;44;6;28;44;41;253;4
28;основ духовно-нравственной культуры народов России;67.06;57.74;52.42;4;6;;5;2;2;13;
29;прочих предметов;702.63;600.56;563.96;169;12;2;7;23;23;123;2
30;учителя-логопеды;241.59;221.49;208.3;167;37;3;25;15;13;186;16
31;учителя-дефектологи;228.3;188.62;178.16;113;43;4;30;18;18;160;6
32;из них:                      олигофренопедагог;95.32;67.84;64.45;35;7;;7;7;7;62;
33;тифлопедагог;0.35;;;;;;;;;;
34;сурдопедагог;;;;;;;;;;;
35;социальные педагоги;368.73;350.63;329.67;277;41;;26;32;31;280;6
36;педагоги дополнительного образования;496.05;440.73;407.83;233;46;10;20;42;41;231;6
37;педагоги-психологи;492.94;455.89;431.74;365;64;4;43;51;48;377;15
38;воспитатели;1720.25;1585.48;1504.44;1369;190;56;89;246;233;1324;33
39;мастера производственного обучения;3.3;2.3;1.3;3;;;;;;2;
40;тьюторы;53.9;40.45;37.25;23;11;5;5;6;5;25;6
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;213.62;202.17;187.87;70;53;2;37;11;11;132;4
42;другие;860.52;802.5;735.22;450;122;24;58;111;110;466;10
