;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);8;48;235;990
2;в том числе       инженерные;;7;;72
3;медицинские;1;3;34;76
4;космические;1;;14;
5;педагогические;;18;;315
6;аграрные;;;;
7;предпринимательские;;;;
8;кадетские;;2;;56
9;IT-классы;1;3;32;75
10;другие;5;15;155;396
