;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;"Всего обу-чающихся (сумма граф 4,10; сумма граф 16-18)";Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Всего;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) лица с огра- ниченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): дети-инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) инвалиды  (кроме учтенных в гр. 6);Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) дети-инвали- ды (кроме учтенных в гр. 7);Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) лица с огра- ниченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) инвалиды  (кроме учтенных в гр. 12);Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) дети-инвали- ды (кроме учтенных в  гр. 13);В том числе обучающихся (из гр.3) очно;В том числе обучающихся (из гр.3) очно-заочно;В том числе обучающихся (из гр.3) заочно
1;Численность обучающихся – всего;63285;62452;2929;2;774;;244;833;833;55;525;;;62633;402;250
2;из них обучаются:       по программам, реализуемым с использованием сетевой формы;1402;1402;21;;12;;5;;;;;;;1400;;2
3;с применением электронного обучения;60677;60595;2126;;399;;180;82;82;;36;;;60090;399;188
4;с применением дистанционных образовательных технологий;42;39;36;1;29;;1;3;3;;3;;;42;;
5;по индивидуальным учебным планам;3949;3296;2672;2;716;;27;653;653;54;438;;;3875;51;23
6;на дому;697;568;527;2;373;;17;129;127;21;104;;;697;;
7;в медицинской организации;1;1;;;;;;;;;;;;1;;
8;из суммы строк 06 и 07:             с применением дистанционных образовательных технологий             (из строки 04);30;30;30;1;24;;1;;;;;;;30;;
9;по индивидуальным учебным планам (из строки 05);569;442;409;2;266;;4;127;127;21;104;;;569;;
