;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего (сумма граф 4 – 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 06);61539;6737;6598;6571;6298;6077;5821;5843;5697;5795;3254;2697;85;66
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05);61435;6737;6598;6568;6298;6072;5821;5843;5694;5744;3230;2679;85;66
3;в том числе обучались:       очно;60693;6736;6591;6561;6293;6059;5806;5823;5659;5625;3011;2525;1;3
4;очно-заочно;446;1;1;3;;4;4;4;21;74;131;124;45;34
5;заочно;296;;6;4;5;9;11;16;14;45;88;30;39;29
6;Численность экстернов, окончивших данный класс;104;;;3;;5;;;3;51;24;18;;
7;из них (из стр.06)  обучались:       в форме семейного образования;64;;;3;;5;;;3;50;;3;;
8;в форме самообразования;38;;;;;;;;;;24;14;;
9;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;
