;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);9005;5163;4579;1;8;;;1720;837;780;1272;1342;7;13;7511;
2;в том числе:       руководящие работники – всего;578;569;455;;1;;;8;2;1;63;17;;1;489;
3;из них:             директор;148;147;140;;1;;;1;1;;11;3;;;125;
4;заместители директора;426;418;314;;;;;7;1;1;52;12;;1;361;
5;руководитель филиала;1;1;;;;;;;;;;;;;1;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);5104;4202;4071;1;7;;;844;796;7;1209;1324;6;12;4434;3907.2
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);3998;3406;3337;1;5;;;559;541;2;1104;1167;4;10;3462;3101.6
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1169;808;797;;;;;353;343;;339;338;1;5;1163;879.8
9;русского языка и литературы;478;459;457;;;;;18;17;;188;130;1;3;468;
10;языка народов России и литературы;1;1;1;;;;;;;;;1;;;1;
