;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);9005;732;499;1161;1174;1014;4425;5596;763;453;830;671;445;2434;3409
2;в том числе:       руководящие работники – всего;578;4;8;32;68;81;385;483;14;15;41;62;55;296;95
3;из них:             директор;148;;;5;14;12;117;143;2;2;9;16;12;102;5
4;заместители директора;426;4;8;27;53;68;266;340;12;13;32;46;43;194;86
5;руководитель филиала;1;;;;1;;;;;;;;;;1
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);5104;560;330;700;616;464;2434;5038;729;428;778;597;384;2122;66
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);3998;409;225;521;457;350;2036;3959;476;279;583;479;310;1832;39
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1169;129;68;135;108;83;646;1154;141;80;136;117;77;603;15
9;русского языка и литературы;478;32;16;44;48;43;295;471;30;27;50;49;43;272;7
10;языка народов России и литературы;1;;1;;;;;1;;1;;;;;
11;истории, экономики, права, обществознания;269;32;18;41;24;22;132;267;36;20;52;27;15;117;2
12;информатики;91;9;7;11;14;11;39;90;12;10;15;14;7;32;1
13;физики;122;13;10;13;10;7;69;122;19;11;13;9;7;63;
14;математики;378;37;10;50;30;36;215;375;41;14;51;42;29;198;3
15;химии;92;11;2;7;9;8;55;91;12;3;7;9;10;50;1
16;географии;121;3;3;22;11;15;67;121;6;2;27;16;9;61;
17;биологии;112;11;7;19;11;5;59;112;11;8;24;8;7;54;
18;иностранных языков;456;60;33;77;94;52;140;454;64;35;94;89;45;127;2
19;из них:                         английского языка;429;50;30;73;90;52;134;427;54;32;90;85;45;121;2
20;немецкого языка;1;;;;1;;;1;;;;1;;;
21;французского языка;2;;;;;;2;2;;;;;;2;
22;китайского языка;4;3;;1;;;;4;3;;1;;;;
23;физической культуры;315;38;25;58;60;33;101;312;44;32;67;57;31;81;3
24;труда (технологии);191;11;7;19;19;20;115;191;24;15;22;24;19;87;
25;музыки и пения;67;4;6;2;6;3;46;66;8;2;2;9;6;39;1
26;изобразительного искусства, черчения;37;6;2;3;5;1;20;37;8;3;4;3;1;18;
27;основ безопасности и защиты Родины;30;3;4;8;5;3;7;27;3;6;10;2;1;5;3
28;основ духовно-нравственной культуры народов России;3;1;;;;1;1;3;1;;;;2;;
29;прочих предметов;66;9;6;12;3;7;29;65;16;10;9;4;1;25;1
30;учителя-логопеды;97;9;8;12;15;17;36;97;15;11;16;13;12;30;
31;учителя-дефектологи;33;3;6;7;7;2;8;32;7;6;8;3;1;7;1
32;из них:                   олигофренопедагог;13;2;2;1;2;1;5;13;3;1;2;2;1;4;
33;тифлопедагог;1;;1;;;;;1;;1;;;;;
34;сурдопедагог;1;;;1;;;;1;;;1;;;;
35;социальные педагоги;104;4;6;21;12;21;40;100;15;9;25;9;15;27;4
36;педагоги дополнительного образования;165;42;23;19;16;10;55;160;53;30;25;10;8;34;5
37;педагоги-психологи;165;17;17;37;26;19;49;163;34;19;38;21;13;38;2
38;воспитатели;214;23;15;37;35;19;85;211;43;31;36;28;9;64;3
39;мастера производственного обучения;2;1;;1;;;;2;2;;;;;;
40;тьюторы;53;8;5;7;10;5;18;52;13;7;9;9;3;11;1
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;14;2;2;2;4;2;2;13;3;2;2;4;1;1;1
42;другие;259;42;23;36;34;19;105;249;68;34;36;21;12;78;10
43;учебно-вспомогательный персонал;821;52;47;124;125;128;345;51;8;7;6;10;5;15;770
44;иной персонал;2502;116;114;305;365;341;1261;24;12;3;5;2;1;1;2478
45;из них:             ассистент (помощник);4;;1;1;;;2;;;;;;;;4
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;84;1;1;15;16;10;41;83;10;11;18;15;4;25;1
49;из них воспитатели;71;1;1;10;14;10;35;70;10;10;12;14;3;21;1
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;57;5;;11;6;2;33;57;7;1;12;6;4;27;
51;из них учителя;50;4;;10;6;2;28;50;6;;11;6;4;23;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
