;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);14034.54;13551.21;13050.79;8907;1273;227;360;1175;1093;9005;499
2;в том числе:       руководящие работники – всего;652.55;624.3;618.05;577;62;3;26;71;66;578;36
3;из них:             директор;152.75;146.75;146.75;147;12;;5;16;16;148;5
4;заместители директора;491.8;459.8;452.55;416;46;3;18;51;47;426;30
5;руководитель филиала;1;1;1;1;1;;1;1;1;1;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);8968.78;8678.55;8330.98;5006;716;124;314;611;567;5104;325
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);7084.98;6973.8;6710.38;3963;473;75;213;431;402;3998;159
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1702.92;1686.89;1659.26;1153;125;50;32;103;96;1169;13
9;русского языка и литературы;777.16;767.74;745.46;484;55;;37;59;57;478;16
10;языка народов России и литературы;21.76;21.65;21.54;3;;;;1;1;1;2
11;истории, экономики, права, обществознания;432.38;425.91;412.83;264;26;1;13;26;25;269;7
12;информатики;172.85;169.34;156.23;87;13;;8;9;9;91;7
13;физики;196.14;191.99;185.16;122;16;;7;17;14;122;9
14;математики;691.59;687.74;665.44;367;61;4;23;50;47;378;31
15;химии;136.9;132.16;126.45;86;20;1;11;16;15;92;6
16;географии;198.07;197.18;189.17;119;13;;9;14;14;121;8
17;биологии;184.09;183.04;177.65;113;10;1;4;10;10;112;6
18;иностранных языков;732.43;726.22;705.67;466;48;2;29;55;51;456;16
19;из них:                         английского языка;686.67;679.79;657.24;419;43;2;27;47;43;429;15
20;немецкого языка;0.46;0.46;0.46;1;;;;;;1;
21;французского языка;2;2;2;3;;;;1;1;2;
22;китайского языка;5.89;5.89;5.89;4;1;;1;1;1;4;
23;физической культуры;467.37;465.01;451.15;317;23;4;13;26;21;315;3
24;труда (технологии);295.94;292.23;281.25;191;14;2;9;12;11;191;6
25;музыки и пения;119.53;118.36;106.34;60;9;4;;7;7;67;8
26;изобразительного искусства, черчения;77.21;74.69;70.71;40;5;2;1;6;6;37;3
27;основ безопасности и защиты Родины;72.17;69.67;63.82;31;7;1;3;7;5;30;1
28;основ духовно-нравственной культуры народов России;41.79;41.51;38.66;1;2;;1;;;3;
29;прочих предметов;764.68;722.47;653.59;59;26;3;13;13;13;66;17
30;учителя-логопеды;162.27;141.69;132.08;90;14;;7;9;9;97;26
31;учителя-дефектологи;75.35;51.65;48.35;27;10;;5;6;6;33;25
32;из них:                      олигофренопедагог;18.25;15.25;15.25;11;3;;3;1;1;13;2
33;тифлопедагог;2;2;2;1;;;;;;1;1
34;сурдопедагог;1.25;1.25;1.25;;1;;1;;;1;
35;социальные педагоги;133.41;122.66;119.66;108;17;2;6;21;20;104;14
36;педагоги дополнительного образования;444.37;401.53;369.31;158;38;7;18;31;29;165;43
37;педагоги-психологи;205.35;186.1;179.35;153;32;2;16;20;17;165;16
38;воспитатели;253.95;246.45;246.45;199;52;20;15;34;30;214;6
39;мастера производственного обучения;3.5;3;3;1;1;1;;;;2;
40;тьюторы;89.86;74.2;72.2;52;11;1;6;8;7;53;14
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;57.05;54.05;50.05;5;6;2;2;2;2;14;3
42;другие;458.69;423.42;400.15;250;62;14;26;49;45;259;19
43;учебно-вспомогательный персонал;1234.87;1182.87;1117.02;832;86;12;11;91;85;821;46
44;иной персонал;3178.34;3065.49;2984.74;2492;409;88;9;402;375;2502;92
45;из них:             ассистент (помощник);7;7;7;10;;;;1;1;4;1
46;сурдопереводчик;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;84.59;81.09;81.09;64;10;4;;9;8;84;1
49;из них воспитатели;69.99;64.49;64.49;53;7;3;;7;6;71;1
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;90.67;73.91;67.4;50;1;;;;;57;
51;из них учителя;86.89;70.13;63.62;40;1;;;;;50;
;;;;;;;;;;;;
;;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам
