;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;"Всего  (сумма граф 4–9; сумма граф 11-13)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования (1–4 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования (5–9 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования (10–11(12) классы);Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы начального общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы основного общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы среднего общего образования;Из граф 3 изучают 2-й, 3-й и более иностранные языки;Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, которым в соответствии с образовательной про-граммой должны преподаваться иностранные языки (сумма строк 02, 16);496870;176161;276044;37342;2528;4770;25;;493335;2830;705
2;В том числе обучающиеся, которым:       преподается иностранный язык;496536;176160;275741;37320;2528;4762;25;;493001;2830;705
3;из них преподается язык:             английский;479881;170205;267190;35846;2293;4322;25;4207;476737;2439;705
4;французский;8936;2021;5972;863;44;36;;2999;8775;161;
5;немецкий;19691;3842;13751;1432;210;456;;4746;19455;236;
6;итальянский;8;;8;;;;;8;8;;
7;испанский;52;;52;;;;;52;52;;
8;китайский;1227;92;1045;90;;;;1060;1227;;
9;арабский;;;;;;;;;;;
10;португальский;;;;;;;;;;;
11;турецкий;;;;;;;;;;;
12;корейский;;;;;;;;;;;
13;японский;;;;;;;;;;;
14;иврит;;;;;;;;;;;
15;другие;13;;;;13;;;;13;;
16;не преподается иностранный язык;334;1;303;22;;8;;;334;;
17;из строки 16 – из-за отсутствия учителя иностранного языка;332;;302;22;;8;;;332;;
18;Из строки 02 – изучают:             2 иностранных языка;13072;;12237;751;32;52;;;13066;6;
19;3 и более иностранных языка;269;;189;80;;;;;269;;
