;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);58984;36590;31952;5;111;2;18;13173;6707;4681;9833;15873;26;57;50693;
2;в том числе:       руководящие работники – всего;4274;4006;3143;1;28;1;3;217;50;27;584;473;4;7;3807;
3;из них:             директор;1000;980;909;1;9;1;1;11;10;;155;128;1;3;845;
4;заместители директора;2908;2727;2091;;18;;2;118;30;15;405;318;2;4;2617;
5;руководитель филиала;72;56;47;;;;;4;3;1;5;16;;;59;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);37843;30115;28295;4;82;1;15;7084;6390;121;9237;15364;21;50;34026;39906.1
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);30915;25188;24069;4;69;1;15;5312;4992;65;8509;13567;18;41;27682;32806.1
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;9266;6174;6025;;4;1;;2975;2914;21;2415;4210;2;15;9212;9770.4
9;русского языка и литературы;3529;3323;3250;;12;;3;178;168;4;1270;1382;6;4;3463;
