;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего (сумма граф 4 – 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 06);50465;5360;5597;5379;5177;5306;4937;4990;4796;4522;2219;2182;;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05);49976;5336;5578;5348;5155;5276;4911;4969;4767;4302;2206;2128;;
3;в том числе обучались:       очно;49930;5332;5572;5346;5154;5271;4907;4968;4767;4280;2206;2127;;
4;очно-заочно;30;3;3;1;1;3;2;1;;15;;1;;
5;заочно;16;1;3;1;;2;2;;;7;;;;
6;Численность экстернов, окончивших данный класс;489;24;19;31;22;30;26;21;29;220;13;54;;
7;из них (из стр.06)  обучались:       в форме семейного образования;408;24;19;29;22;30;26;19;29;159;12;39;;
8;в форме самообразования;3;;;;;;;;;;;3;;
9;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;
