;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);7279.7;6641.35;5664.39;4383;916;231;429;803;730;4496;431
2;в том числе:       руководящие работники – всего;358.25;337.25;316.25;316;41;;33;45;39;310;16
3;из них:             директор;64;64;61;64;7;;6;7;6;63;1
4;заместители директора;288.75;271.25;254.25;246;34;;27;37;32;247;11
5;руководитель филиала;;;;1;;;;;;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);5185.72;4851.24;4064.53;3076;575;83;359;520;484;3147;230
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);4301.03;4107.08;3428.22;2619;412;55;258;407;384;2623;135
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1062.07;1043.38;923.49;799;103;27;53;104;98;802;10
9;русского языка и литературы;517.32;506.41;414.76;295;42;3;31;37;31;299;7
10;языка народов России и литературы;5.38;5.38;5.05;5;;;;2;1;4;
11;истории, экономики, права, обществознания;275.34;271.14;229.06;163;35;6;23;31;30;165;2
12;информатики;104.2;99.61;84.61;62;9;;7;12;12;63;5
13;физики;109.09;104.67;86.19;73;10;2;4;9;9;75;4
14;математики;418.51;410.37;334.81;237;37;3;24;35;34;237;5
15;химии;70.3;65.91;55.47;50;10;;8;10;10;52;5
16;географии;104.19;101.73;85.87;66;8;1;6;7;7;70;2
17;биологии;103.84;99.88;84.3;62;14;;10;9;8;67;1
18;иностранных языков;558.94;549.43;466.35;385;66;2;45;75;71;374;10
19;из них:                         английского языка;486.8;479.26;387.94;334;55;2;37;58;56;329;7
20;немецкого языка;33.84;32.98;28.71;32;3;;2;7;7;26;2
21;французского языка;18.68;17.57;15.98;14;4;;4;5;4;13;
22;китайского языка;1.28;1.28;1.28;;1;;;1;1;1;
23;физической культуры;269.83;264.42;222.82;166;34;4;23;27;27;174;3
24;труда (технологии);157.87;152.39;121.24;102;17;1;12;18;17;97;7
25;музыки и пения;78.8;77.69;59.92;51;10;1;6;10;10;48;
26;изобразительного искусства, черчения;50.71;49.78;41.96;35;6;1;3;4;4;38;
27;основ безопасности и защиты Родины;47.59;44.29;36.3;32;4;1;2;8;6;27;5
28;основ духовно-нравственной культуры народов России;18.59;18.59;16.98;;1;;;1;1;3;
29;прочих предметов;348.46;242.01;159.04;36;6;3;1;8;8;28;69
30;учителя-логопеды;77.5;62.5;51.25;44;15;;9;7;5;51;9
31;учителя-дефектологи;39;23;16.5;8;10;;6;6;4;14;9
32;из них:                      олигофренопедагог;10.5;1.5;1.5;4;4;;1;3;;6;
33;тифлопедагог;0.5;;;;;;;;;;
34;сурдопедагог;;;;1;;;;1;1;;
35;социальные педагоги;55.25;52;46.5;38;11;1;9;16;16;36;6
36;педагоги дополнительного образования;183.16;165.5;129.93;68;22;1;19;16;14;75;14
37;педагоги-психологи;88.7;77.2;68.75;64;23;1;18;16;13;70;7
38;воспитатели;239.33;201.96;189.04;142;43;20;18;29;26;163;31
39;мастера производственного обучения;;;;;;;;;;;
40;тьюторы;25.5;15.5;12;8;4;1;2;2;2;10;5
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;26.5;25.5;21;12;13;2;6;5;5;26;1
42;другие;149.75;121;101.34;73;22;2;14;16;15;79;13
43;учебно-вспомогательный персонал;347.07;290.31;267.66;240;39;15;12;28;25;219;44
44;иной персонал;1388.66;1162.55;1015.95;751;261;133;25;210;182;820;141
45;из них:             ассистент (помощник);10.5;3.5;2.5;4;2;;1;1;1;4;4
46;сурдопереводчик;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;154;71.61;66.61;94;16;4;10;5;5;95;25
49;из них воспитатели;115.34;53.61;52.61;78;13;4;7;5;5;78;20
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;;;;;;;;;;;
51;из них учителя;;;;;;;;;;;
;;;;;;;;;;;;
;;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам
