;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Лицензия на осуществление образовательной деятельности;357
2;Свидетельство о государственной аккредитации образовательной деятельности по образовательным программам начального общего, основного общего, среднего общего образования;348
3;Коллегиальные органы управления;350
4;в том числе:       общее собрание;319
5;педагогический совет;346
6;попечительский совет;27
7;управляющий совет;84
8;наблюдательный совет;3
9;другие;62
10;Советы обучающихся;325
11;Советы родителей;324
12;Профессиональные союзы работников;324
13;из строки 03 с участием общественности (родителей, работодателей);231
14;Организация реализует профориентационный минимум;316
15;в том числе:       на базовом уровне;213
16;на основном уровне;124
17;на продвинутом уровне;10
