;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателя;Всего (сумма граф 04 - 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Число классов без углубленного изучения предметов, ед.;4762;494;508;524;535;516;518;485;505;531;75;68;2;1
2;В них обучающихся, чел.;81312;8317;8708;9140;9421;8962;8973;8122;8535;8949;1119;1040;18;8
3;Число классов с углубленным изучением отдельных предметов, ед.;600;;14;14;11;18;19;52;48;35;198;190;1;
4;В них обучающихся, чел.;10678;;404;380;310;513;521;1258;1088;875;2766;2555;8;
5;Число гимназических классов, ед.;24;2;3;2;3;2;2;3;3;2;1;1;;
6;В них обучающихся, чел.;586;56;74;50;68;45;51;68;70;50;28;26;;
7;Число лицейских классов, ед.;;;;;;;;;;;;;;
8;В них обучающихся, чел.;;;;;;;;;;;;;;
9;Итого классов (без классов для обучающихся с ограниченными возможностями здоровья) (сумма строк 01, 03, 05, 07), ед.;5386;496;525;540;549;536;539;540;556;568;274;259;3;1
10;"В них обучающихся (сумма строк 02, 04, 06, 08;  сумма строк 11 - 13), чел.";92576;8373;9186;9570;9799;9520;9545;9448;9693;9874;3913;3621;26;8
11;в том числе обучаются:          очно;91935;8373;9186;9570;9799;9498;9530;9425;9601;9702;3735;3504;12;
12;очно-заочно;456;;;;;15;2;11;64;100;153;111;;
13;заочно;185;;;;;7;13;12;28;72;25;6;14;8
14;Из строки 10:          воспитанники (без приходящих учащихся);1113;85;87;110;136;106;139;125;121;114;44;46;;
15;девочки;45225;4071;4455;4616;4735;4587;4654;4604;4688;4805;2096;1893;17;4
16;оставленные на повторное обучение;315;89;25;19;53;16;24;18;18;47;6;;;
17;лица с ограниченными возможностями здоровья;1647;135;180;212;236;135;172;183;192;186;11;5;;
18;из них:                инвалиды;36;5;4;5;5;5;2;5;2;;2;1;;
19;дети-инвалиды;376;47;52;40;42;52;32;33;31;38;6;3;;
20;инвалиды (кроме учтенных в строке 18);60;1;4;5;3;8;13;8;6;7;2;3;;
21;дети-инвалиды (кроме учтенных в строке 19);648;40;52;60;61;60;83;70;89;66;42;25;;
22;дети-сироты и дети, оставшиеся без попечения родителей;527;26;27;36;57;55;60;64;68;95;23;16;;
23;из них воспитанники (без приходящих учащихся);;;;;;;;;;;;;;
24;обучающиеся иностранные граждане;632;73;88;98;72;48;56;69;50;50;14;14;;
25;из них девочки;260;33;28;47;28;15;23;25;27;25;5;4;;
26;обучающиеся лица без гражданства;34;2;6;1;4;2;3;3;4;5;1;3;;
