;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;1165;105;129;147;150;105;121;135;124;135;10;4;;;;;;;;
2;В них обучающихся (всего), чел.;19809;1772;2252;2417;2788;1855;2029;2164;2090;2222;149;71;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;;;;;;;;;;;;;;;;;;;;
4;слабослышащие;19;2;2;4;3;1;;4;2;1;;;;;1;13;;19;;
5;позднооглохшие;;;;;;;;;;;;;;;;;;;;
6;слепые;;;;;;;;;;;;;;;;;;;;
7;слабовидящие;33;2;5;3;1;3;1;4;8;3;2;1;;;1;17;;33;;
8;с тяжелыми нарушениями речи;93;19;21;19;11;4;4;3;8;4;;;;;3;7;;93;;
9;с нарушением опорно-двигательного аппарата;126;19;18;14;17;15;8;8;8;13;3;3;;;9;86;4;125;1;
10;с задержкой психического развития;919;53;91;122;154;63;103;113;114;106;;;;;8;41;1;904;12;3
11;с умственной отсталостью (интеллектуальными          нарушениями);298;20;25;34;33;33;34;34;41;41;3;;;;7;93;;295;3;
12;с расстройствами аутистического спектра;86;18;11;9;10;11;14;6;3;4;;;;;3;63;1;85;;1
13;со сложными дефектами;4;1;2;1;;;;;;;;;;;;4;;4;;
14;с иными ограниченными возможностями          здоровья;69;1;5;6;7;5;8;11;8;14;3;1;;;4;52;2;69;;
