;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);13530;7777;6947;;29;;;3005;912;1272;3750;2271;3;3;11222;
2;в том числе:       руководящие работники – всего;950;884;754;;9;;;52;15;4;399;143;;1;822;
3;из них:             директор;323;305;273;;5;;;3;2;;139;55;;1;258;
4;заместители директора;619;547;423;;4;;;44;11;4;247;76;;;556;
5;руководитель филиала;7;7;7;;;;;;;;1;4;;;5;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);7532;6409;6068;;20;;;1002;853;10;3313;2116;3;2;6758;4645.2
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);6263;5504;5294;;16;;;698;606;5;3010;1830;2;1;5592;3893
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1881;1478;1446;;1;;;386;363;1;963;558;;1;1859;1169.4
9;русского языка и литературы;779;753;744;;5;;;19;16;;435;205;;;763;
10;языка народов России и литературы;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;420;407;384;;2;;;11;9;;196;114;;;331;
12;информатики;159;144;132;;1;;;12;9;;80;45;;;121;
13;физики;214;207;201;;1;;;5;3;;104;60;;;159;
14;математики;575;563;540;;;;;8;7;;269;188;;;528;
15;химии;179;178;175;;1;;;1;1;;105;42;;;165;
16;географии;235;225;219;;1;;;8;7;;122;57;;;205;
17;биологии;192;183;176;;;;;8;7;1;100;54;;;180;
18;иностранных языков;631;599;583;;3;;;28;26;;231;199;1;;605;
19;из них:                         английского языка;483;444;427;;2;;;18;18;;164;140;;;456;
20;немецкого языка;130;114;112;;;;;6;5;;52;40;1;;128;
21;французского языка;17;17;17;;;;;;;;8;5;;;17;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;441;347;325;;;;;89;74;;195;146;;;267;
24;труда (технологии);174;120;103;;;;;49;27;1;62;57;;;133;
25;музыки и пения;103;57;52;;;;;43;36;;40;29;;;101;
26;изобразительного искусства, черчения;87;73;69;;;;;12;7;;37;21;;;82;
27;основ безопасности и защиты Родины;144;128;106;;;;;13;9;1;59;36;1;;48;
