;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);13530;721;411;904;1038;1044;9412;8457;654;355;681;700;565;5502;5073
2;в том числе:       руководящие работники – всего;950;8;18;41;76;84;723;847;12;25;41;83;80;606;103
3;из них:             директор;323;3;4;6;14;21;275;320;2;7;9;21;21;260;3
4;заместители директора;619;5;14;34;61;63;442;520;10;18;31;61;59;341;99
5;руководитель филиала;7;;;1;1;;5;7;;;1;1;;5;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);7532;591;270;558;595;491;5027;7433;620;319;615;604;478;4797;99
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);6263;457;215;400;447;363;4381;6203;461;246;440;460;366;4230;60
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1881;136;62;98;117;105;1363;1867;134;62;113;127;103;1328;14
9;русского языка и литературы;779;41;25;32;57;26;598;772;40;28;35;49;33;587;7
10;языка народов России и литературы;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;420;32;21;35;35;22;275;415;30;26;36;34;19;270;5
12;информатики;159;14;6;10;23;19;87;157;16;8;12;22;21;78;2
13;физики;214;9;10;13;8;8;166;213;12;8;14;10;7;162;1
14;математики;575;33;12;30;26;33;441;570;37;14;35;23;31;430;5
15;химии;179;11;6;12;6;8;136;179;12;5;12;7;9;134;
16;географии;235;14;4;12;12;12;181;233;13;7;11;14;10;178;2
17;биологии;192;14;8;12;6;15;137;191;16;9;9;7;14;136;1
18;иностранных языков;631;73;25;60;77;53;343;624;71;26;67;75;53;332;7
19;из них:                         английского языка;483;71;19;56;68;44;225;478;69;21;62;66;44;216;5
20;немецкого языка;130;1;5;3;6;8;107;128;1;4;4;6;8;105;2
21;французского языка;17;1;1;1;3;1;10;17;1;1;1;3;1;10;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;441;45;22;46;41;26;261;435;44;28;49;46;26;242;6
24;труда (технологии);174;9;5;10;12;12;126;173;11;10;12;13;11;116;1
25;музыки и пения;103;9;4;5;7;4;74;100;6;5;5;6;6;72;3
26;изобразительного искусства, черчения;87;10;2;5;8;5;57;85;9;2;8;7;5;54;2
27;основ безопасности и защиты Родины;144;6;1;14;9;13;101;142;10;4;19;17;15;77;2
28;основ духовно-нравственной культуры народов России;3;;;;;;3;3;;;;;;3;
29;прочих предметов;46;1;2;6;3;2;32;44;;4;3;3;3;31;2
30;учителя-логопеды;94;8;1;11;10;10;54;92;7;1;12;10;10;52;2
31;учителя-дефектологи;24;3;1;7;;;13;24;3;1;8;;;12;
32;из них:                   олигофренопедагог;2;;;1;;;1;2;;;1;;;1;
33;тифлопедагог;6;1;;4;;;1;6;1;;4;;;1;
34;сурдопедагог;4;;;;;;4;4;;;1;;;3;
35;социальные педагоги;137;14;4;17;15;11;76;132;22;6;13;11;11;69;5
36;педагоги дополнительного образования;87;14;3;17;7;7;39;85;16;11;15;7;7;29;2
37;педагоги-психологи;145;14;3;27;17;24;60;140;19;7;22;19;19;54;5
38;воспитатели;416;21;13;38;40;40;264;414;26;17;48;50;36;237;2
39;мастера производственного обучения;1;;;;;;1;1;;;;;;1;
40;тьюторы;25;9;2;2;3;3;6;22;8;4;3;2;1;4;3
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;190;29;20;25;35;20;61;185;35;17;38;28;18;49;5
42;другие;150;22;8;14;21;13;72;135;23;9;16;17;10;60;15
43;учебно-вспомогательный персонал;752;37;27;60;46;78;504;86;14;6;12;7;4;43;666
44;иной персонал;4296;85;96;245;321;391;3158;91;8;5;13;6;3;56;4205
45;из них:             ассистент (помощник);3;1;;1;;;1;;;;;;;;3
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;172;11;6;19;22;20;94;172;11;9;26;24;16;86;
49;из них воспитатели;157;10;6;12;22;19;88;157;10;9;19;24;15;80;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;20;;;;;1;19;20;;;1;1;1;17;
51;из них учителя;20;;;;;1;19;20;;;1;1;1;17;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
