;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1266;794;495.5
2;в том числе:       руководящие работники – всего;21;16;13.5
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);793;578;326.2
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);560;413;243.6
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;100;99;58.6
6;русского языка и литературы;33;31;24.1
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;33;17;14.8
9;информатики;36;20;12.6
10;физики;38;15;15.4
11;математики;37;30;17.8
12;химии;24;16;12.8
13;географии;14;10;5.4
14;биологии;18;13;10.3
15;иностранных языков;56;54;26.9
16;из них:                      английского языка;38;37;18.8
17;немецкого языка;13;12;6.8
18;французского языка;2;2;0.5
19;китайского языка;;;
20;физической культуры;50;22;23.5
21;труда (технологии);21;13;10.1
22;музыки и пения;26;23;14.9
23;изобразительного искусства, черчения;11;10;2.9
24;основ безопасности и защиты Родины;16;3;6
25;основ духовно-нравственной культуры народов России;4;4;
26;прочих предметов;43;33;10
27;учителя-логопеды;8;8;3.5
28;учителя-дефектологи;1;1;
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;0.2
32;социальные педагоги;3;2;2
33;педагоги дополнительного образования;150;97;36.4
34;педагоги-психологи;18;14;8
35;воспитатели;15;15;2.4
36;мастера производственного обучения;1;;0.6
37;тьюторы;;;
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;7;5;5
39;другие;30;23;18.7
40;учебно-вспомогательный персонал;67;31;17.6
41;иной персонал;385;169;173.3
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;1;1;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;7;7;2.5
46;из них воспитатели;4;4;5.4
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;30;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;1;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);62;;
53;из них женщин;55;;
54;в том числе:          врачи всех специальностей;24;;
55;медицинские сестры;38;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;306;;
