;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
№ строки;Наименование показателя;Всего (сумма граф 4-47);Программы начального общего образования с нормативным сроком обучения 4 года 1-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 2-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 3-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 5 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 2 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 2 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс второго года обучения;Из общей численности обучающихся (из гр. 3): лица с ограниче- нными возможно- стями здоровья;Из общей численности обучающихся (из гр. 3): из них: инвалиды;Из общей численности обучающихся (из гр. 3): из них: дети-инвалиды;Из общей численности обучающихся (из гр. 3): инвалиды  (кроме учтенных в гр. 49);Из общей численности обучающихся (из гр. 3): дети-инвалиды  (кроме учтенных в гр. 50);Из общей численности обучающихся (из гр. 3): с умствен-ной отста-лостью
1;Число классов для глухих, ед.;21;;;;;1;1;1;;2;;;1;;;2;1;;;;;;;1;;1;;;1;3;;;1;;;2;3;;;;;;;;;;;;;;
2;В них обучающихся, чел.;107;;;;;6;4;6;;11;;;5;;;10;6;;;;;;;8;;3;;;3;13;;;6;;;12;14;;;;;;;;;107;19;88;;;
3;Число классов для слабослышащих и позднооглохших, ед.;21;;;;;1;1;2;;1;;1;2;;;2;2;;;1;;;1;1;;1;1;;1;1;;;;;;1;1;;;;;;;;;;;;;;
4;В них обучающихся, чел.;121;;;;;5;5;10;;6;;5;14;;;11;12;;;4;;;5;6;;6;8;;7;5;;;;;;6;6;;;;;;;;;121;1;120;;;
5;Число классов для слепых, ед.;22;;;;;1;;;2;;;3;;;2;;;;;;;;1;;;3;;;2;;;2;;;;3;1;1;1;;;;;;;;;;;;
6;В них обучающихся, чел:       cлепых;77;;;;;4;;;8;;;16;;;4;;;;;;;;2;;;10;;;4;;;4;;;;11;4;5;5;;;;;;;77;8;69;;;
7;слабовидящих и поздноослепших;76;;;;;2;;;11;;;5;;;6;;;;;;;;6;;;10;;;7;;;10;;;;10;4;4;1;;;;;;;76;;76;;;
8;Число классов для слабовидящих и поздноослепших, ед.;12;;;;;;1;;1;;;1;;;1;1;;2;1;1;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
9;В них обучающихся, чел:       слабовидящих и поздноослепших;116;;;;;;9;;10;;;9;;;10;11;;19;11;9;16;;;;;;;;;;;;;;;;12;;;;;;;;;116;1;34;;;31
10;cлепых;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Число классов для обучающихся с тяжелыми нарушениями речи, ед.;9;;;1;;;1;1;;;;;;;;;;;;;;;1;;;1;;;1;;;1;;;;;2;;;;;;;;;;;;;;
12;В них обучающихся, чел.;64;;;10;;;6;8;;;;;;;;;;;;;;;8;;;8;;;4;;;4;;;;;16;;;;;;;;;64;;8;;;
13;Число классов для обучающихся с нарушением опорно-двигательного аппарата, ед.;12;;;;;;1;1;1;;;1;;;1;;;;1;;1;1;1;;;1;;;1;;;;;;;;1;;;;;;;;;;;;;;
14;В них обучающихся, чел.;62;;;;;;6;7;6;;;6;;;5;;;;1;;9;5;3;;;5;;;6;;;;;;;;3;;;;;;;;;62;;17;;;
15;Число классов для обучающихся с задержкой психического развития, ед.;265;12;25;29;30;1;6;5;5;;;5;;;6;;;32;28;26;23;30;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;
16;В них обучающихся, чел.;2652;81;253;320;326;9;54;38;40;;;60;;;67;;;326;275;259;221;304;;;;10;;;;;;9;;;;;;;;;;;;;;2649;21;231;;2;98
17;Число классов для обучающихся с расстройствами аутистического спектра, ед.;9;1;;1;;1;;;1;;1;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;В них обучающихся, чел.;45;4;;8;;5;;;4;;7;13;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;40;;;
19;Число классов для обучающихся со сложными дефектами, ед.;7;;;;;1;;;1;;;1;;;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;В них обучающихся, чел.;29;;;;;3;;;3;;;2;;;5;;;;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;29;;29;;;
21;Число классов для обучающихся с иными ограниченными возможностями здоровья (кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;В них обучающихся, чел.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Итого классов (сумма строк 01,03, 05, 08, 11, 13, 15, 17, 19, 21);378;13;25;31;30;6;11;10;11;3;1;14;3;1;12;5;3;34;31;30;26;31;4;2;;8;1;;6;4;;4;1;;;6;9;1;1;;;;;;;;;;;;
24;"В них обучающихся  (сумма строк 02, 04, 06, 07, 09, 10, 12, 14, 16, 18, 20, 22; сумма строк 25 - 27)";3349;85;253;338;326;34;84;69;82;17;7;116;19;3;98;32;18;345;295;280;246;309;24;14;;52;8;;31;18;;27;6;;;39;59;9;6;;;;;;;3346;50;712;;2;129
25;в том числе обучаются:       очно;3349;85;253;338;326;34;84;69;82;17;7;116;19;3;98;32;18;345;295;280;246;309;24;14;;52;8;;31;18;;27;6;;;39;59;9;6;;;;;;;3346;50;712;;2;129
26;очно-заочно;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;заочно;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;из них (из строки 24):       воспитанники (без приходящих учащихся);219;;;16;;8;9;9;10;2;;10;2;;11;8;6;1;8;7;5;;13;3;;14;;;14;7;;10;2;;;10;30;2;2;;;;;;;173;3;102;;;11
29;девочки;1297;45;102;132;147;13;24;21;31;4;3;42;5;1;38;13;4;132;121;97;80;115;12;7;;17;3;;13;10;;10;4;;;17;23;7;4;;;;;;;769;5;183;;1;49
30;лица с ограниченными возможностями здоровья;3346;82;253;338;326;34;84;69;82;17;7;116;19;3;98;32;18;345;295;280;246;309;24;14;;52;8;;31;18;;27;6;;;39;59;9;6;;;;;;;;;;;;16
31;из них (из строки 30):             инвалиды;50;3;;3;2;;;;;;;;;;;;;1;3;2;4;3;;;;;;;;1;;;;;;6;15;1;6;;;;;;;;;;;;
32;дети-инвалиды;712;13;5;28;11;27;30;41;40;17;7;55;19;3;27;28;18;42;33;32;31;13;15;14;;30;8;;23;17;;16;6;;;33;22;8;;;;;;;;;;;;;5
33;инвалиды (кроме учтенных в строке 31);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;дети-инвалиды (кроме учтенных в строке 32);2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;дети-сироты и дети, оставшиеся без попечения       родителей;47;;;3;6;1;2;3;2;;;3;;;3;;;2;4;5;2;7;;;;1;;;;;;;;;;;3;;;;;;;;;5;;;;;
36;из них воспитанники (без приходящих учащихся);2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
37;обучающиеся иностранные граждане;7;;1;;1;;;;1;;;;;;;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
38;из них девочки;2;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
39;обучающиеся лица без гражданства;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
