;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;"Всего  (сумма граф 4–9; сумма граф 11-13)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования (1–4 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования (5–9 классы);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования (10–11(12) классы);Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы начального общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы основного общего образования;Классы для обучающихся с ограниченными возможностями здоровья, кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями) программы среднего общего образования;Из граф 3 изучают 2-й, 3-й и более иностранные языки;Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, которым в соответствии с образовательной про-граммой должны преподаваться иностранные языки (сумма строк 02, 16);286044;102797;158436;22239;903;1654;15;;284582;1381;81
2;В том числе обучающиеся, которым:       преподается иностранный язык;285949;102742;158396;22239;903;1654;15;;284487;1381;81
3;из них преподается язык:             английский;281064;101489;155449;21893;788;1430;15;1965;279602;1381;81
4;французский;4428;418;3528;462;;20;;2216;4428;;
5;немецкий;8034;835;6356;607;81;155;;3786;8034;;
6;итальянский;166;;158;8;;;;166;166;;
7;испанский;1469;;1259;124;34;52;;1154;1467;2;
8;китайский;;;;;;;;;;;
9;арабский;;;;;;;;;;;
10;португальский;;;;;;;;;;;
11;турецкий;;;;;;;;;;;
12;корейский;;;;;;;;;;;
13;японский;;;;;;;;;;;
14;иврит;;;;;;;;;;;
15;другие;211;;140;71;;;;211;211;;
16;не преподается иностранный язык;95;55;40;;;;;;95;;
17;из строки 16 – из-за отсутствия учителя иностранного языка;;;;;;;;;;;
18;Из строки 02 – изучают:             2 иностранных языка;9498;;8565;930;;3;;;9496;2;
19;3 и более иностранных языка;;;;;;;;;;;
