;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);13;25;271;468
2;в том числе       инженерные;;;;
3;медицинские;1;3;22;39
4;космические;;;;
5;педагогические;;15;;290
6;аграрные;9;3;177;43
7;предпринимательские;;2;;47
8;кадетские;;;;
9;IT-классы;;;;
10;другие;3;2;72;49
