;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
№ строки;Наименование показателей;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Всего (сумма граф 9–11);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 дети-инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 5);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 6);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно-заочно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались заочно;Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 14);Классы для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 15);Итого по всем классам (сумма граф 3, 12);Кроме того, численность экстернов;из них лица с ограни- ченными возможностя- ми здоровья;из них из графы 20 инвалиды;из них из графы 20 дети-инвалиды;из них инвалиды (кроме учтенных в графе 21);из них дети-инвалиды (кроме учтенных в графе 22)
1;Численность обучающихся (гр. 3–18) и экстернов (гр. 19–24), допущенных к ГИА по образовательным программам основного общего образования (сумма строк 02, 04, 05);30113;451;4;167;14;181;29899;212;2;346;321;6;42;;;30459;180;10;;6;1;3
2;в том числе:       получили аттестат об основном общем образовании;30080;441;2;160;13;181;29866;212;2;334;309;6;34;;;30414;178;10;;6;1;3
3;из них (из строки 02) продолжили обучение по образовательной          программе среднего общего образования в данной организации;10544;36;;29;4;39;10473;70;1;17;17;;10;;;10561;13;;;;;
4;получили на ГИА неудовлетворительные результаты;16;;;;;;16;;;1;1;;;;;17;;;;;;
5;не участвовали в ГИА;17;10;2;7;1;;17;;;11;11;;8;;;28;2;;;;;
6;Из строки 02 получили аттестат об основном общем образовании:    с отличием;2366;7;;6;2;19;2366;;;3;3;;3;;;2369;12;1;;1;;
7;в IV квартале прошлого года;121;;;;1;2;121;;;;;;;;;121;;;;;;
8;после 1 сентября текущего года;266;1;;;;1;264;2;;2;2;;;;;268;13;;;;;
9;Численность обучающихся (графы 3–18) и экстернов (графы 19–24), допущенных к ГИА по образовательным программам среднего общего образования (сумма строк 10–12);9374;35;4;22;3;63;9203;162;9;6;6;6;;;;9380;147;1;;1;;
10;в том числе:       получили аттестат о среднем общем образовании;9339;34;4;21;3;63;9171;159;9;6;6;6;;;;9345;135;1;;1;;
11;получили на ГИА неудовлетворительные результаты;32;;;;;;30;2;;;;;;;;32;4;;;;;
12;не участвовали в ГИА;3;1;;1;;;2;1;;;;;;;;3;8;;;;;
13;Из строки 10 получили аттестат о среднем общем образовании:    с отличием и медаль «За особые успехи в учении»;1771;3;;3;;9;1767;;4;1;1;1;;;;1772;18;;;;;
14;в IV квартале прошлого года;75;;;;;1;75;;;;;;;;;75;2;;;;;
15;после 1 сентября текущего года;21;;;;;;20;1;;2;2;2;;;;23;3;;;;;
16;Из общей численности участвовавших в ГИА (из суммы строк 10 и 11)    участвовали в едином государственном экзамене (ЕГЭ)*;9253;27;3;17;3;60;9186;58;9;2;2;2;;;;9255;138;1;;1;;
17;участвовали в ЕГЭ по русскому языку (из строки 16);9253;22;2;14;3;51;9186;58;9;2;2;2;;;;9255;137;1;;1;;
18;из них сдали ЕГЭ;9240;20;1;13;3;48;9175;56;9;2;2;2;;;;9242;136;1;;1;;
19;участвовали в ЕГЭ по математике (из строки 16);9253;21;2;13;3;51;9186;58;9;;;;;;;9253;137;1;;1;;
20;из них сдали ЕГЭ;9213;20;1;13;3;49;9148;56;9;;;;;;;9213;134;1;;1;;
21;участвовали в ГИА в иной (кроме ЕГЭ) форме*;118;7;1;4;;3;15;103;;4;4;4;;;;122;1;;;;;
22;Выпущено лиц, не получивших основного общего и среднего общего образования, со свидетельством об обучении;158;90;6;37;;2;156;2;;174;174;1;90;;;332;7;4;;2;;
23;"Справочно. Код по ОКЕИ: человек – 792  Из численности обучавшихся во всех классах, получивших аттестат о сред-нем общем образовании с отличием и медаль «За особые успехи в учении» (из строки 13 графы 18):    получили аттестат красного цвета и медаль ""За особые успехи    в учении"" I степени";1152;;;;;;;;;;;;;;;;;;;;;
24;"получили аттестат сине-голубого цвета и медаль ""За особые успехи    в учении"" II степени";620;;;;;;;;;;;;;;;;;;;;;
25;"Из численности обучавшихся экстернов, получивших аттестат о среднем общем образовании с отличием и медаль «За особые успехи в учении» (из строки 13 графы 19):    получили аттестат красного цвета и медаль ""За особые успехи    в учении"" I степени";15;;;;;;;;;;;;;;;;;;;;;
26;"получили аттестат сине-голубого цвета и медаль ""За особые успехи    в учении"" II степени";3;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;;;;;;;;;;;;;;;;;
