;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);24824;9773;11778;2748;186;162;;177;787;24049;730;45
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;266;87;113;15;20;12;;19;;266;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;49;7;15;1;18;5;;3;;49;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;35;29;6;;;;;;;35;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;20779;9445;10080;829;165;135;;125;164;20771;8;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;259;105;128;14;1;5;;6;1;259;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;167;102;61;4;;;;;;167;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;948;2;339;607;;;;;15;919;26;3
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;1163;;451;707;;5;;;1;1102;58;3
10;в связи с переходом на семейное образование и самообразование;619;148;348;120;1;;;2;6;597;7;15
11;по болезни;3;1;2;;;;;;2;3;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;21;;9;12;;;;;4;21;;
13;выбыло по другим причинам;1025;90;436;458;;10;;31;595;370;631;24
