;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);30399;19833;18024;3;138;;10;5507;2450;2158;7715;1957;10;126;26419;
2;в том числе:       руководящие работники – всего;2662;2541;2190;1;37;;4;88;13;13;636;89;4;19;2375;
3;из них:             директор;610;604;589;;13;;2;;;;196;20;1;6;511;
4;заместители директора;2019;1872;1526;1;23;;1;84;13;13;408;62;3;12;1828;
5;руководитель филиала;4;4;4;;;;;;;;2;;;;4;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);19077;16147;15605;2;99;;6;2589;2333;25;7073;1865;5;107;17184;18866.8
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);16426;14157;13814;1;88;;6;2028;1887;14;6658;1706;4;104;14804;16223.9
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;5336;4089;4045;;4;;;1182;1141;8;2222;629;2;43;5321;5330.4
9;русского языка и литературы;1966;1878;1858;;13;;2;67;65;;925;177;;17;1939;
10;языка народов России и литературы;1;1;1;;;;;;;;;;;;1;
11;истории, экономики, права, обществознания;1093;1034;1017;;15;;1;44;37;;436;104;;5;941;
12;информатики;401;356;334;;4;;;37;27;1;151;51;;2;303;
13;физики;465;448;427;;3;;1;13;11;;208;38;;5;371;
14;математики;1435;1354;1322;;7;;;48;43;;600;152;;8;1357;
15;химии;354;347;335;;6;;1;5;4;1;181;24;;1;336;
16;географии;478;460;452;;4;;;12;11;;238;36;;3;445;
17;биологии;485;471;460;;3;;1;12;12;;231;32;;3;469;
18;иностранных языков;1787;1694;1668;1;20;;;63;57;1;617;219;;9;1714;
19;из них:                         английского языка;1698;1589;1556;1;17;;;58;53;1;544;199;;8;1627;
20;немецкого языка;53;53;52;;2;;;;;;21;5;;;51;
21;французского языка;28;28;28;;;;;;;;11;1;;;25;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;1029;835;812;;4;;;166;156;1;349;100;;5;478;
24;труда (технологии);714;524;472;;1;;;180;148;1;240;55;1;1;519;
25;музыки и пения;244;149;142;;1;;;91;87;;80;23;;;222;
26;изобразительного искусства, черчения;209;152;141;;;;;53;47;1;67;25;;1;201;
27;основ безопасности и защиты Родины;296;256;225;;2;;;34;24;;77;23;1;1;69;
28;основ духовно-нравственной культуры народов России;9;6;6;;;;;3;1;;;;;;8;
29;прочих предметов;124;103;97;;1;;;18;16;;36;18;;;110;
30;учителя-логопеды;196;192;184;;1;;;3;3;;65;18;;1;196;189.5
31;учителя-дефектологи;62;59;56;;;;;2;;;8;3;;;59;60
32;из них:                   олигофренопедагог;12;12;11;;;;;;;;;;;;10;12
33;тифлопедагог;1;1;1;;;;;;;;1;;;;1;1
34;сурдопедагог;4;4;4;;;;;;;;1;1;;;4;4
35;социальные педагоги;362;300;270;;1;;;60;49;1;56;15;;;356;357.5
36;педагоги дополнительного образования;359;238;185;1;2;;;102;74;3;33;9;;;250;353
37;педагоги-психологи;455;425;398;;3;;;23;20;;92;30;;2;446;450
38;воспитатели;544;351;327;;1;;;168;144;2;100;55;;;502;539.5
39;мастера производственного обучения;7;6;5;;;;;1;;;1;1;;;2;7
