;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателя;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Число классов с нормативным сроком освоения программ 9 лет, ед.;24;1;;;2;2;3;3;2;4;4;3;;;
2;В них обучающихся, чел.;220;9;;;11;17;29;24;17;34;32;47;;;
3;Число классов с нормативным сроком освоения программ 10 лет, ед.;24;;3;2;2;2;2;2;2;2;5;1;1;;
4;В них обучающихся, чел.;206;;10;13;14;18;21;21;29;25;34;12;9;;
5;Число классов с нормативным сроком освоения программ 11 лет, ед.;;;;;;;;;;;;;;;
6;В них обучающихся, чел.;;;;;;;;;;;;;;;
7;Число классов с нормативным сроком освоения программ 12 лет, ед.;;;;;;;;;;;;;;;
8;В них обучающихся, чел.;;;;;;;;;;;;;;;
9;Число классов с нормативным сроком освоения программ 13 лет, ед.;23;;1;1;1;2;3;2;2;2;4;1;1;2;1
10;В них обучающихся, чел.;71;;2;2;7;4;8;4;6;8;13;2;6;7;2
11;Итого классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед. (сумма строк 01, 03, 05, 07, 09);71;1;4;3;5;6;8;7;6;8;13;5;2;2;1
12;"В них обучающихся, чел. (сумма строк 02, 04, 06, 08, 10;    сумма строк 13-15)";497;9;12;15;32;39;58;49;52;67;79;61;15;7;2
13;в том числе обучаются:          очно;443;7;12;15;29;33;50;43;43;62;72;53;15;7;2
14;очно-заочно;54;2;;;3;6;8;6;9;5;7;8;;;
15;заочно;;;;;;;;;;;;;;;
16;из них (из строки 12):       воспитанники (без приходящих учащихся);87;;;;2;7;12;10;14;17;10;14;;1;
17;девочки;170;6;6;5;14;11;18;10;11;24;29;23;8;5;
18;лица с ограниченными возможностями здоровья;497;9;12;15;32;39;58;49;52;67;79;61;15;7;2
19;из них (из строки 18):             инвалиды;7;;;;;;;;;1;2;3;;1;
20;дети-инвалиды;374;7;12;15;30;24;46;29;35;46;67;40;15;6;2
21;инвалиды (кроме учтенных в строке 19);;;;;;;;;;;;;;;
22;дети-инвалиды (кроме учтенных в строке 20);;;;;;;;;;;;;;;
23;дети-сироты и дети, оставшиеся без попечения родителей;20;;;;;1;3;1;6;3;3;2;;1;
24;из них воспитанники (без приходящих учащихся);20;;;;;1;3;1;6;3;3;2;;1;
25;обучающиеся иностранные граждане;;;;;;;;;;;;;;;
26;из них девочки;;;;;;;;;;;;;;;
27;обучающиеся лица без гражданства;;;;;;;;;;;;;;;
