;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;12487;;5260;7227;12453;10;24
2;из них:        русский язык;39;;26;13;39;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;4817;;1497;3320;4791;2;24
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;23;;;23;23;;
12;литература;592;;30;562;592;;
13;родная литература;;;;;;;
14;иностранный язык;3240;;2731;509;3238;2;
15;из них:              английский;2659;;2199;460;2657;2;
16;немецкий;441;;417;24;441;;
17;французский;140;;115;25;140;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;1234;;622;612;1234;;
23;история;1705;;62;1643;1701;4;
24;обществознание;4442;;694;3748;4410;8;24
25;география;188;;;188;188;;
26;физика;1941;;628;1313;1941;;
27;химия;1866;;531;1335;1866;;
28;биология;2127;;611;1516;2127;;
29;основы безопасности и защиты Родины;;;;;;;
