;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
1;2;3;4;5;6;7;8
№ строки;Наименование показателей;Код государства  по ОКСМ;Всего (сумма граф 5–8);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального об-щего образова-ния (1-4 классы);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам основного об-щего образова-ния (5–9 классы);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам среднего общего образования (10–11(12) классы);Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья
1;Численность обучающихся иностранных граждан - всего;;493;207;252;33;1
2;Афганистан;4;3;1;2;;
3;Алжир;12;1;;1;;
4;Азербайджан;31;12;4;7;1;
5;Армения;51;27;13;13;1;
6;Беларусь;112;2;1;1;;
7;Германия;276;2;;2;;
8;Ирак;368;1;1;;;
9;Израиль;376;5;4;1;;
10;Казахстан;398;18;6;12;;
11;Киргизия;417;10;3;6;1;
12;Молдова, Республика;498;8;3;2;3;
13;Сирийская Арабская Республика;760;2;2;;;
14;Таджикистан;762;242;120;113;8;1
15;Таиланд;764;1;;;1;
16;Туркменистан;795;19;5;13;1;
17;Украина;804;12;2;9;1;
18;Соединенные Штаты;840;1;1;;;
19;Узбекистан;860;127;41;70;16;
20;;;;;;;
21;;;;;;;
22;;;;;;;
23;;;;;;;
24;;;;;;;
25;;;;;;;
26;;;;;;;
27;;;;;;;
28;;;;;;;
29;;;;;;;
30;;;;;;;
31;;;;;;;
32;;;;;;;
33;;;;;;;
34;;;;;;;
35;;;;;;;
36;;;;;;;
37;;;;;;;
38;;;;;;;
39;;;;;;;
40;;;;;;;
41;;;;;;;
42;;;;;;;
43;;;;;;;
44;;;;;;;
45;;;;;;;
46;;;;;;;
47;;;;;;;
48;;;;;;;
49;;;;;;;
50;;;;;;;
51;;;;;;;
52;;;;;;;
53;;;;;;;
54;;;;;;;
55;;;;;;;
56;;;;;;;
57;;;;;;;
58;;;;;;;
59;;;;;;;
60;;;;;;;
61;;;;;;;
62;;;;;;;
63;;;;;;;
64;;;;;;;
65;;;;;;;
66;;;;;;;
67;;;;;;;
68;;;;;;;
69;;;;;;;
70;;;;;;;
71;;;;;;;
72;;;;;;;
73;;;;;;;
74;;;;;;;
75;;;;;;;
76;;;;;;;
77;;;;;;;
78;;;;;;;
79;;;;;;;
80;;;;;;;
81;;;;;;;
82;;;;;;;
83;;;;;;;
84;;;;;;;
85;;;;;;;
86;;;;;;;
87;;;;;;;
88;;;;;;;
89;;;;;;;
90;;;;;;;
91;;;;;;;
92;;;;;;;
93;;;;;;;
94;;;;;;;
95;;;;;;;
96;;;;;;;
97;;;;;;;
98;;;;;;;
99;;;;;;;
100;;;;;;;
101;;;;;;;
102;;;;;;;
103;;;;;;;
104;;;;;;;
105;;;;;;;
106;;;;;;;
107;;;;;;;
108;;;;;;;
109;;;;;;;
110;;;;;;;
111;;;;;;;
112;;;;;;;
113;;;;;;;
114;;;;;;;
115;;;;;;;
116;;;;;;;
117;;;;;;;
118;;;;;;;
119;;;;;;;
120;;;;;;;
121;;;;;;;
122;;;;;;;
123;;;;;;;
124;;;;;;;
125;;;;;;;
126;;;;;;;
127;;;;;;;
128;;;;;;;
129;;;;;;;
130;;;;;;;
