;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);12525;817;498;1025;1162;1211;7812;9646;766;500;898;922;760;5800;2879
2;в том числе:       руководящие работники – всего;676;11;8;28;48;65;516;593;19;10;37;49;56;422;83
3;из них:             директор;114;1;;2;6;8;97;112;2;1;3;6;11;89;2
4;заместители директора;467;8;5;25;36;52;341;389;14;6;33;37;40;259;78
5;руководитель филиала;92;2;2;1;5;5;77;91;3;2;1;6;5;74;1
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);9066;698;412;777;847;747;5585;8951;728;479;850;858;692;5344;115
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);7048;478;275;529;606;562;4598;6971;458;308;560;617;534;4494;77
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2140;171;96;144;165;155;1409;2110;151;100;143;172;157;1387;30
9;русского языка и литературы;913;52;35;55;70;80;621;904;46;41;60;69;76;612;9
10;языка народов России и литературы;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;516;58;22;46;56;30;304;508;54;22;49;53;28;302;8
12;информатики;156;14;11;17;21;14;79;153;14;15;18;19;10;77;3
13;физики;208;3;7;9;7;15;167;208;5;8;10;7;13;165;
14;математики;713;29;21;43;43;47;530;708;28;24;46;46;40;524;5
15;химии;188;9;4;11;10;13;141;188;11;7;10;11;13;136;
16;географии;237;10;2;13;14;12;186;236;12;6;12;16;11;179;1
17;биологии;248;8;7;12;12;18;191;245;5;9;11;16;18;186;3
18;иностранных языков;748;53;32;94;114;90;365;739;53;33;98;108;89;358;9
19;из них:                         английского языка;655;51;30;89;104;85;296;646;51;31;90;99;83;292;9
20;немецкого языка;81;2;2;4;10;4;59;81;2;2;6;9;5;57;
21;французского языка;10;;;1;;;9;10;;;2;;;8;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;498;41;24;47;59;41;286;494;40;26;49;62;39;278;4
24;труда (технологии);212;9;7;21;17;25;133;211;12;12;36;21;17;113;1
25;музыки и пения;102;6;4;8;4;9;71;101;7;3;9;5;8;69;1
26;изобразительного искусства, черчения;80;8;1;6;7;4;54;77;8;;7;4;6;52;3
27;основ безопасности и защиты Родины;66;5;1;1;6;7;46;66;8;1;1;7;7;42;
28;основ духовно-нравственной культуры народов России;;;;;;;;;;;;;;;
29;прочих предметов;23;2;1;2;1;2;15;23;4;1;1;1;2;14;
30;учителя-логопеды;133;12;9;12;26;16;58;131;14;9;16;22;13;57;2
31;учителя-дефектологи;78;9;12;16;15;6;20;77;8;13;16;14;6;20;1
32;из них:                   олигофренопедагог;13;1;1;4;3;;4;13;1;1;4;3;;4;
33;тифлопедагог;1;;;;;1;;1;;;;;1;;
34;сурдопедагог;4;;;;1;;3;4;;;;1;;3;
35;социальные педагоги;174;7;9;26;22;25;85;171;16;14;32;19;20;70;3
36;педагоги дополнительного образования;236;42;20;27;22;15;110;225;44;27;36;19;13;86;11
37;педагоги-психологи;197;20;17;44;25;20;71;196;31;20;46;27;17;55;1
38;воспитатели;540;50;23;42;57;41;327;534;67;28;55;55;37;292;6
39;мастера производственного обучения;3;2;;;;;1;3;2;;;;;1;
40;тьюторы;46;6;8;6;2;7;17;45;10;9;5;;5;16;1
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;71;13;12;17;7;10;12;71;18;12;18;8;5;10;
42;другие;540;59;27;58;65;45;286;527;60;39;66;77;42;243;13
43;учебно-вспомогательный персонал;729;34;22;61;92;108;412;77;15;7;8;11;10;26;652
44;иной персонал;2054;74;56;159;175;291;1299;25;4;4;3;4;2;8;2029
45;из них:             ассистент (помощник);;;;;;;;;;;;;;;
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;223;18;7;20;28;22;128;221;20;8;23;28;20;122;2
49;из них воспитатели;176;15;6;15;20;18;102;174;17;6;18;21;16;96;2
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;12;;;1;1;;10;12;;;1;2;;9;
51;из них учителя;10;;;;;;10;10;;;;1;;9;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
