;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);650;400;287.6
2;в том числе:       руководящие работники – всего;1;1;
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);552;361;238.4
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);322;227;144.6
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;16;16;8.7
6;русского языка и литературы;19;19;10
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;16;8;7.1
9;информатики;25;16;11.4
10;физики;22;13;10.9
11;математики;22;17;10.7
12;химии;18;16;7.4
13;географии;12;9;7.5
14;биологии;20;18;10
15;иностранных языков;31;28;14.6
16;из них:                      английского языка;25;22;14
17;немецкого языка;6;6;0.6
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;33;8;17.4
21;труда (технологии);21;11;6.7
22;музыки и пения;24;18;10.9
23;изобразительного искусства, черчения;6;6;1.6
24;основ безопасности и защиты Родины;8;2;3.5
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;29;22;4.3
27;учителя-логопеды;11;11;4.6
28;учителя-дефектологи;2;2;1.5
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;8;8;2.7
33;педагоги дополнительного образования;150;77;63
34;педагоги-психологи;10;8;5.9
35;воспитатели;7;6;3
36;мастера производственного обучения;1;;0.5
37;тьюторы;4;2;1.5
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;1;1;0.5
39;другие;36;19;16.1
40;учебно-вспомогательный персонал;45;13;20.2
41;иной персонал;52;25;22.5
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;1;1;1
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;1;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);36;;
53;из них женщин;33;;
54;в том числе:          врачи всех специальностей;13;;
55;медицинские сестры;23;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;220;;
