;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;15447;91;5216;10140;14726;644;77
2;из них:        русский язык;771;;190;581;635;70;66
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;5595;;992;4603;5363;166;66
8;изобразительное искусство;114;;;114;114;;
9;музыка;904;91;791;22;904;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;1468;;;1468;1207;250;11
13;родная литература;;;;;;;
14;иностранный язык;2938;;2331;607;2938;;
15;из них:              английский;2514;;1974;540;2514;;
16;немецкий;360;;293;67;360;;
17;французский;64;;64;;64;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;1919;;568;1351;1919;;
23;история;1143;;;1143;984;159;
24;обществознание;4535;;168;4367;4160;364;11
25;география;779;;210;569;529;250;
26;физика;1511;;355;1156;1511;;
27;химия;1335;;384;951;1335;;
28;биология;1727;;263;1464;1698;29;
29;основы безопасности и защиты Родины;;;;;;;
