;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;2567;205;277;325;307;254;285;300;313;292;6;3;;;;;;;;
2;В них обучающихся (всего), чел.;55117;4620;6380;7228;6652;5289;6034;5962;6538;6180;159;75;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;27;1;1;;2;1;4;2;3;13;;;;;;1;;27;;
4;слабослышащие;39;4;7;5;5;1;2;1;9;5;;;;;;27;;39;;
5;позднооглохшие;2;;;;;1;;;;1;;;;;;1;;2;;
6;слепые;;;;;;;;;;;;;;;;;;;;
7;слабовидящие;40;6;5;7;6;6;1;5;1;1;1;1;;;1;26;;39;1;
8;с тяжелыми нарушениями речи;826;113;242;217;157;21;24;29;14;9;;;;;1;27;;824;2;
9;с нарушением опорно-двигательного аппарата;167;14;23;38;21;11;15;13;16;13;1;2;;;4;130;3;165;2;
10;с задержкой психического развития;3364;148;209;339;376;319;377;496;580;518;2;;;;3;139;5;3338;26;
11;с умственной отсталостью (интеллектуальными          нарушениями);417;18;34;49;43;46;51;68;60;44;4;;;;8;135;;406;11;
12;с расстройствами аутистического спектра;109;29;12;15;11;7;9;8;13;4;1;;;;;71;11;105;4;
13;со сложными дефектами;3;1;1;;;1;;;;;;;;;;3;1;3;;
14;с иными ограниченными возможностями          здоровья;8;1;2;2;1;;;;1;1;;;;;;8;;8;;
