;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;"Всего обу-чающихся (сумма граф 4,10; сумма граф 16-18)";Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Всего;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) лица с огра- ниченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): дети-инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) инвалиды  (кроме учтенных в гр. 6);Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) дети-инвали- ды (кроме учтенных в гр. 7);Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) лица с огра- ниченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) инвалиды  (кроме учтенных в гр. 12);Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) дети-инвали- ды (кроме учтенных в  гр. 13);В том числе обучающихся (из гр.3) очно;В том числе обучающихся (из гр.3) очно-заочно;В том числе обучающихся (из гр.3) заочно
1;Численность обучающихся – всего;139293;135811;5002;17;568;22;1082;3482;3474;44;1270;;;138154;1036;103
2;из них обучаются:       по программам, реализуемым с использованием сетевой формы;1677;1555;27;;4;;8;122;122;;24;;;1667;10;
3;с применением электронного обучения;1062;1062;;;;;;;;;;;;1062;;
4;с применением дистанционных образовательных технологий;27;14;4;;3;;6;13;11;1;10;;;23;4;
5;по индивидуальным учебным планам;2513;2096;1548;9;285;1;86;417;404;16;267;;;2494;19;
6;на дому;1377;963;645;9;253;2;98;414;414;18;355;;;1321;56;
7;в медицинской организации;2;1;1;;;;;1;1;1;;;;1;1;
8;из суммы строк 06 и 07:             с применением дистанционных образовательных технологий             (из строки 04);16;6;1;;1;;4;10;10;1;9;;;13;3;
9;по индивидуальным учебным планам (из строки 05);798;575;411;9;157;1;48;223;223;11;182;;;798;;
