;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);2092;67;43;42;156;178;204;245;244;314;264;320;8;7;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);2076;67;41;41;156;178;200;243;243;312;260;320;8;7;
3;в том числе (из строки 02) обучались:       очно;2051;67;41;41;155;178;199;243;243;312;260;297;8;7;
4;очно-заочно;25;;;;1;;1;;;;;23;;;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;1553;57;;;82;141;157;181;203;224;209;299;;;
7;10 лет;263;;22;15;35;32;20;36;18;51;22;8;4;;
8;11 лет;35;10;10;4;7;2;;1;1;;;;;;
9;12 лет;22;;;;3;;;4;1;2;1;1;3;7;
10;13 лет;203;;9;22;29;3;23;21;20;35;28;12;1;;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);16;;2;1;;;4;2;1;2;4;;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;8;;;;;;2;2;1;1;2;;;;
13;10 лет;1;;;;;;;;;;1;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;;;;;;;;;;;;;;;
16;13 лет;7;;2;1;;;2;;;1;1;;;;
17;Из строки 11 – обучались:       в форме семейного образования;16;;2;1;;;4;2;1;2;4;;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
