;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
№ строки;Наименование показателей;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Всего (сумма граф 9–11);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 дети-инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 5);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 6);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно-заочно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались заочно;Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 14);Классы для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 15);Итого по всем классам (сумма граф 3, 12);Кроме того, численность экстернов;из них лица с ограни- ченными возможностя- ми здоровья;из них из графы 20 инвалиды;из них из графы 20 дети-инвалиды;из них инвалиды (кроме учтенных в графе 21);из них дети-инвалиды (кроме учтенных в графе 22)
1;Численность обучающихся (гр. 3–18) и экстернов (гр. 19–24), допущенных к ГИА по образовательным программам основного общего образования (сумма строк 02, 04, 05);13233;592;4;45;2;101;13078;154;1;164;164;;13;;;13397;44;6;;;;3
2;в том числе:       получили аттестат об основном общем образовании;13213;588;3;44;2;101;13064;148;1;164;164;;13;;;13377;41;5;;;;3
3;из них (из строки 02) продолжили обучение по образовательной          программе среднего общего образования в данной организации;4641;27;;6;;26;4595;46;;;;;;;;4641;;;;;;
4;получили на ГИА неудовлетворительные результаты;7;;;;;;7;;;;;;;;;7;1;;;;;
5;не участвовали в ГИА;13;4;1;1;;;7;6;;;;;;;;13;2;1;;;;
6;Из строки 02 получили аттестат об основном общем образовании:    с отличием;661;11;;;;4;660;1;;;;;;;;661;1;;;;;
7;в IV квартале прошлого года;151;;;;;;141;10;;;;;;;;151;;;;;;
8;после 1 сентября текущего года;303;;;;;1;298;5;;;;;;;;303;7;1;;;;
9;Численность обучающихся (графы 3–18) и экстернов (графы 19–24), допущенных к ГИА по образовательным программам среднего общего образования (сумма строк 10–12);4691;26;2;13;7;27;4576;106;9;2;2;;2;;;4693;21;1;;1;;
10;в том числе:       получили аттестат о среднем общем образовании;4652;25;2;13;7;25;4550;96;6;2;2;;2;;;4654;19;;;;;
11;получили на ГИА неудовлетворительные результаты;35;1;;;;2;25;8;2;;;;;;;35;1;1;;1;;
12;не участвовали в ГИА;4;;;;;;1;2;1;;;;;;;4;1;;;;;
13;Из строки 10 получили аттестат о среднем общем образовании:    с отличием и медаль «За особые успехи в учении»;817;1;;1;;4;817;;;;;;;;;817;8;;;;;
14;в IV квартале прошлого года;21;;;;;;21;;;;;;;;;21;;;;;;
15;после 1 сентября текущего года;30;1;;1;;;27;1;2;;;;;;;30;1;;;;;
16;Из общей численности участвовавших в ГИА (из суммы строк 10 и 11)    участвовали в едином государственном экзамене (ЕГЭ)*;4610;18;2;10;7;22;4558;44;8;;;;;;;4610;19;;;;;
17;участвовали в ЕГЭ по русскому языку (из строки 16);4600;17;2;9;7;19;4548;44;8;;;;;;;4600;19;;;;;
18;из них сдали ЕГЭ;4546;16;2;8;5;19;4499;39;8;;;;;;;4546;19;;;;;
19;участвовали в ЕГЭ по математике (из строки 16);4590;16;2;8;7;19;4538;44;8;;;;;;;4590;19;;;;;
20;из них сдали ЕГЭ;4483;15;2;7;5;18;4441;37;5;;;;;;;4483;19;;;;;
21;участвовали в ГИА в иной (кроме ЕГЭ) форме*;77;8;;3;;5;17;60;;2;2;;2;;;79;1;1;;1;;
22;Выпущено лиц, не получивших основного общего и среднего общего образования, со свидетельством об обучении;68;54;5;12;;;68;;;252;247;19;86;;;320;2;1;;;;
23;"Справочно. Код по ОКЕИ: человек – 792  Из численности обучавшихся во всех классах, получивших аттестат о сред-нем общем образовании с отличием и медаль «За особые успехи в учении» (из строки 13 графы 18):    получили аттестат красного цвета и медаль ""За особые успехи    в учении"" I степени";474;;;;;;;;;;;;;;;;;;;;;
24;"получили аттестат сине-голубого цвета и медаль ""За особые успехи    в учении"" II степени";343;;;;;;;;;;;;;;;;;;;;;
25;"Из численности обучавшихся экстернов, получивших аттестат о среднем общем образовании с отличием и медаль «За особые успехи в учении» (из строки 13 графы 19):    получили аттестат красного цвета и медаль ""За особые успехи    в учении"" I степени";5;;;;;;;;;;;;;;;;;;;;;
26;"получили аттестат сине-голубого цвета и медаль ""За особые успехи    в учении"" II степени";3;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;;;;;;;;;;;;;;;;;
