;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);18430;1120;603;1185;1505;1832;12185;11628;1089;668;1101;1042;920;6808;6802
2;в том числе:       руководящие работники – всего;1173;13;5;36;80;117;922;934;31;22;56;72;76;677;239
3;из них:             директор;435;3;2;7;12;22;389;432;9;6;18;21;28;350;3
4;заместители директора;633;10;2;28;60;73;460;484;22;15;35;50;47;315;149
5;руководитель филиала;14;;;1;;1;12;12;;;1;1;1;9;2
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);10806;922;446;773;872;962;6831;10520;1037;629;1028;951;829;6046;286
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);8850;720;368;597;672;699;5794;8667;749;502;765;727;628;5296;183
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2657;236;127;182;174;203;1735;2603;218;152;223;187;195;1628;54
9;русского языка и литературы;1107;76;37;55;49;78;812;1095;83;45;70;69;68;760;12
10;языка народов России и литературы;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;581;48;26;43;46;46;372;575;58;39;59;51;35;333;6
12;информатики;182;23;11;16;30;23;79;175;22;13;21;30;19;70;7
13;физики;252;9;6;13;8;16;200;251;12;8;17;14;14;186;1
14;математики;852;50;22;44;51;52;633;837;59;34;51;50;53;590;15
15;химии;206;15;6;15;8;11;151;201;15;8;20;10;9;139;5
16;географии;305;24;8;18;17;25;213;295;23;11;21;18;21;201;10
17;биологии;311;22;15;23;18;20;213;303;22;21;21;24;17;198;8
18;иностранных языков;961;104;49;83;139;106;480;935;91;71;109;128;103;433;26
19;из них:                         английского языка;776;95;45;76;129;91;340;750;82;61;102;117;85;303;26
20;немецкого языка;172;8;4;7;8;15;130;172;8;9;7;9;18;121;
21;французского языка;12;1;;;2;;9;12;1;1;;2;;8;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;582;56;28;62;58;44;334;568;70;41;62;62;38;295;14
24;труда (технологии);361;10;14;12;29;36;260;355;27;28;39;41;25;195;6
25;музыки и пения;183;16;7;10;11;5;134;179;15;9;15;12;6;122;4
26;изобразительного искусства, черчения;107;11;3;5;12;16;60;102;8;9;11;9;11;54;5
27;основ безопасности и защиты Родины;81;6;2;4;8;7;54;78;11;5;12;6;7;37;3
28;основ духовно-нравственной культуры народов России;15;;1;1;1;3;9;15;1;1;1;1;2;9;
29;прочих предметов;107;14;6;11;13;8;55;100;14;7;13;15;5;46;7
30;учителя-логопеды;133;9;8;12;12;19;73;128;11;9;21;12;14;61;5
31;учителя-дефектологи;49;9;2;9;5;2;22;48;11;4;9;4;2;18;1
32;из них:                   олигофренопедагог;10;3;;3;;;4;10;3;1;3;;1;2;
33;тифлопедагог;;;;;;;;;;;;;;;
34;сурдопедагог;3;;;;;;3;3;;;;;1;2;
35;социальные педагоги;133;11;3;15;13;14;77;125;18;6;26;8;10;57;8
36;педагоги дополнительного образования;175;26;8;10;16;17;98;164;28;13;21;11;20;71;11
37;педагоги-психологи;227;31;10;29;29;41;87;206;35;16;32;29;32;62;21
38;воспитатели;884;67;32;71;96;118;500;855;118;53;102;128;93;361;29
39;мастера производственного обучения;11;;;1;1;;9;11;2;;1;1;;7;
40;тьюторы;28;7;1;2;;4;14;22;7;1;2;1;3;8;6
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;66;19;5;14;9;7;12;60;23;8;12;7;3;7;6
42;другие;250;23;9;13;19;41;145;234;35;17;37;23;24;98;16
43;учебно-вспомогательный персонал;1003;49;36;78;116;179;545;97;14;14;10;10;13;36;906
44;иной персонал;5448;136;116;298;437;574;3887;77;7;3;7;9;2;49;5371
45;из них:             ассистент (помощник);3;;;1;;;2;;;;;;;;3
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;486;23;16;51;63;82;251;479;55;28;66;82;64;184;7
49;из них воспитатели;435;20;14;46;61;75;219;431;53;27;59;80;58;154;4
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;52;;3;1;4;5;39;52;3;2;5;3;5;34;
51;из них учителя;49;;2;1;3;5;38;49;1;2;5;3;5;33;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
