;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);67;132;987;2273
2;в том числе       инженерные;12;21;167;255
3;медицинские;4;11;47;165
4;космические;;1;;25
5;педагогические;22;12;125;100
6;аграрные;3;2;65;34
7;предпринимательские;;;;
8;кадетские;7;5;134;82
9;IT-классы;;10;;192
10;другие;19;70;449;1420
