;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);16002;901;754;975;802;1131;902;1770;1470;1903;1626;2055;1770;2373;2003;1941;1579;1634;1291;1319;1029
2;в том числе:       руководящие работники – всего;981;;;14;10;51;39;102;81;151;130;155;127;210;190;160;139;79;74;59;47
3;из них:             директор;277;;;4;2;10;6;19;12;34;28;35;26;62;61;61;55;29;27;23;17
4;заместители директора;670;;;10;8;40;32;76;63;106;91;113;94;146;127;96;82;48;45;35;30
5;руководитель филиала;15;;;;;;;2;2;5;5;4;4;1;1;2;1;1;1;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);9875;831;712;845;713;784;648;1107;943;1055;940;1110;1016;1376;1248;1129;1037;919;833;719;642
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);7967;671;577;675;558;621;494;835;696;810;712;896;812;1152;1048;931;861;778;707;598;543
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2345;247;237;232;230;177;174;195;194;189;189;241;239;458;458;327;325;185;183;94;93
9;русского языка и литературы;952;75;70;62;59;56;53;85;79;69;65;100;100;139;133;130;130;123;121;113;113
10;языка народов России и литературы;;;;;;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;525;50;35;74;47;45;28;70;48;52;47;65;56;47;44;54;48;32;27;36;31
12;информатики;221;28;17;21;12;24;11;31;16;24;16;25;19;28;24;22;17;12;11;6;6
