;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателя;Всего (сумма граф 04 - 16);Программы начального общего образования 1-й класс;Программы начального общего образования 2-й класс;Программы начального общего образования 3-й класс;Программы начального общего образования 4-й класс;Программы основного общего образования 5-й класс;Программы основного общего образования 6-й класс;Программы основного общего образования 7-й класс;Программы основного общего образования 8-й класс;Программы основного общего образования 9-й класс;Программы среднего общего образования 10-й класс;Программы среднего общего образования 11-й класс (выпускной);Программы среднего общего образования 11-й класс;Программы среднего общего образования 12-й класс
1;Число классов без углубленного изучения предметов, ед.;6802;701;743;749;738;721;729;696;701;718;153;147;4;2
2;В них обучающихся, чел.;127934;13136;14676;15048;15018;13478;14065;12937;12703;12800;2157;1838;68;10
3;Число классов с углубленным изучением отдельных предметов, ед.;619;;5;5;5;27;26;40;47;41;216;205;2;
4;В них обучающихся, чел.;11021;;142;126;121;736;686;986;1201;1072;3219;2729;3;
5;Число гимназических классов, ед.;116;11;12;12;12;10;13;13;11;10;7;5;;
6;В них обучающихся, чел.;2781;261;327;327;307;248;305;297;235;228;149;97;;
7;Число лицейских классов, ед.;141;3;4;4;4;18;16;17;18;20;18;19;;
8;В них обучающихся, чел.;3405;79;95;92;85;452;432;447;438;475;401;409;;
9;Итого классов (без классов для обучающихся с ограниченными возможностями здоровья) (сумма строк 01, 03, 05, 07), ед.;7678;715;764;770;759;776;784;766;777;789;394;376;6;2
10;"В них обучающихся (сумма строк 02, 04, 06, 08;  сумма строк 11 - 13), чел.";145141;13476;15240;15593;15531;14914;15488;14667;14577;14575;5926;5073;71;10
11;в том числе обучаются:          очно;144967;13476;15240;15593;15531;14913;15488;14660;14547;14502;5900;5057;60;
12;очно-заочно;148;;;;;;;3;17;65;26;16;11;10
13;заочно;26;;;;;1;;4;13;8;;;;
14;Из строки 10:          воспитанники (без приходящих учащихся);3960;369;439;407;415;399;378;373;354;347;278;201;;
15;девочки;71670;6644;7417;7763;7665;7436;7665;7255;7076;6975;3058;2678;33;5
16;оставленные на повторное обучение;500;95;48;46;93;26;35;37;33;75;11;1;;
17;лица с ограниченными возможностями здоровья;1491;182;152;189;164;138;157;178;157;153;13;8;;
18;из них:                инвалиды;15;5;1;4;;;1;;;3;;1;;
19;дети-инвалиды;440;83;48;44;57;42;31;48;32;40;10;5;;
20;инвалиды (кроме учтенных в строке 18);112;5;3;6;11;5;16;16;15;14;11;10;;
21;дети-инвалиды (кроме учтенных в строке 19);1375;100;137;108;129;123;163;165;170;152;69;59;;
22;дети-сироты и дети, оставшиеся без попечения родителей;546;24;30;44;45;64;63;71;72;92;20;21;;
23;из них воспитанники (без приходящих учащихся);;;;;;;;;;;;;;
24;обучающиеся иностранные граждане;2058;217;269;279;246;227;212;191;176;124;82;35;;
25;из них девочки;811;77;107;116;110;94;102;64;64;51;18;8;;
26;обучающиеся лица без гражданства;107;12;17;22;14;10;11;5;9;5;2;;;
